date,lon,lat,city,pr
1979-01-01,-13.62,9.57,Conakry,0.0
1979-01-02,-13.62,9.57,Conakry,0.0
1979-01-03,-13.62,9.57,Conakry,0.0
1979-01-04,-13.62,9.57,Conakry,0.0
1979-01-05,-13.62,9.57,Conakry,0.0
1979-01-06,-13.62,9.57,Conakry,0.0
1979-01-07,-13.62,9.57,Conakry,0.0
1979-01-08,-13.62,9.57,Conakry,0.0
1979-01-09,-13.62,9.57,Conakry,0.0
1979-01-10,-13.62,9.57,Conakry,0.0
1979-01-11,-13.62,9.57,Conakry,0.0
1979-01-12,-13.62,9.57,Conakry,0.0
1979-01-13,-13.62,9.57,Conakry,0.0
1979-01-14,-13.62,9.57,Conakry,0.0
1979-01-15,-13.62,9.57,Conakry,0.0
1979-01-16,-13.62,9.57,Conakry,0.0
1979-01-17,-13.62,9.57,Conakry,0.9658737729213113
1979-01-18,-13.62,9.57,Conakry,0.0
1979-01-19,-13.62,9.57,Conakry,0.0
1979-01-20,-13.62,9.57,Conakry,0.0
1979-01-21,-13.62,9.57,Conakry,0.0
1979-01-22,-13.62,9.57,Conakry,0.0
1979-01-23,-13.62,9.57,Conakry,0.0
1979-01-24,-13.62,9.57,Conakry,0.0
1979-01-25,-13.62,9.57,Conakry,0.0
1979-01-26,-13.62,9.57,Conakry,0.0
1979-01-27,-13.62,9.57,Conakry,0.0
1979-01-28,-13.62,9.57,Conakry,0.0
1979-01-29,-13.62,9.57,Conakry,0.0
1979-01-30,-13.62,9.57,Conakry,0.0
1979-01-31,-13.62,9.57,Conakry,0.0
1979-02-01,-13.62,9.57,Conakry,0.0
1979-02-02,-13.62,9.57,Conakry,0.0
1979-02-03,-13.62,9.57,Conakry,0.0
1979-02-04,-13.62,9.57,Conakry,0.0
1979-02-05,-13.62,9.57,Conakry,0.0
1979-02-06,-13.62,9.57,Conakry,0.0
1979-02-07,-13.62,9.57,Conakry,0.0
1979-02-08,-13.62,9.57,Conakry,0.0
1979-02-09,-13.62,9.57,Conakry,0.0
1979-02-10,-13.62,9.57,Conakry,0.0
1979-02-11,-13.62,9.57,Conakry,0.0
1979-02-12,-13.62,9.57,Conakry,0.0
1979-02-13,-13.62,9.57,Conakry,0.0
1979-02-14,-13.62,9.57,Conakry,0.0
1979-02-15,-13.62,9.57,Conakry,0.0
1979-02-16,-13.62,9.57,Conakry,0.0
1979-02-17,-13.62,9.57,Conakry,0.0
1979-02-18,-13.62,9.57,Conakry,0.0
1979-02-19,-13.62,9.57,Conakry,0.0
1979-02-20,-13.62,9.57,Conakry,0.0
1979-02-21,-13.62,9.57,Conakry,0.0
1979-02-22,-13.62,9.57,Conakry,0.0
1979-02-23,-13.62,9.57,Conakry,0.0
1979-02-24,-13.62,9.57,Conakry,0.0
1979-02-25,-13.62,9.57,Conakry,0.0
1979-02-26,-13.62,9.57,Conakry,0.0
1979-02-27,-13.62,9.57,Conakry,0.0
1979-02-28,-13.62,9.57,Conakry,0.0
1979-03-01,-13.62,9.57,Conakry,0.0
1979-03-02,-13.62,9.57,Conakry,0.0
1979-03-03,-13.62,9.57,Conakry,0.0
1979-03-04,-13.62,9.57,Conakry,0.0
1979-03-05,-13.62,9.57,Conakry,0.0
1979-03-06,-13.62,9.57,Conakry,0.0
1979-03-07,-13.62,9.57,Conakry,0.0
1979-03-08,-13.62,9.57,Conakry,0.0
1979-03-09,-13.62,9.57,Conakry,0.0
1979-03-10,-13.62,9.57,Conakry,0.016206789136009654
1979-03-11,-13.62,9.57,Conakry,0.2197979170758083
1979-03-12,-13.62,9.57,Conakry,0.0
1979-03-13,-13.62,9.57,Conakry,0.0
1979-03-14,-13.62,9.57,Conakry,0.0
1979-03-15,-13.62,9.57,Conakry,0.0
1979-03-16,-13.62,9.57,Conakry,0.0
1979-03-17,-13.62,9.57,Conakry,0.0
1979-03-18,-13.62,9.57,Conakry,0.0
1979-03-19,-13.62,9.57,Conakry,0.0
1979-03-20,-13.62,9.57,Conakry,0.0
1979-03-21,-13.62,9.57,Conakry,0.0
1979-03-22,-13.62,9.57,Conakry,0.0
1979-03-23,-13.62,9.57,Conakry,0.0
1979-03-24,-13.62,9.57,Conakry,0.0
1979-03-25,-13.62,9.57,Conakry,0.0
1979-03-26,-13.62,9.57,Conakry,0.0
1979-03-27,-13.62,9.57,Conakry,0.0
1979-03-28,-13.62,9.57,Conakry,0.16732813212159486
1979-03-29,-13.62,9.57,Conakry,0.0
1979-03-30,-13.62,9.57,Conakry,0.0
1979-03-31,-13.62,9.57,Conakry,0.0
1979-04-01,-13.62,9.57,Conakry,0.0
1979-04-02,-13.62,9.57,Conakry,0.0
1979-04-03,-13.62,9.57,Conakry,0.0
1979-04-04,-13.62,9.57,Conakry,0.0
1979-04-05,-13.62,9.57,Conakry,0.0
1979-04-06,-13.62,9.57,Conakry,0.0
1979-04-07,-13.62,9.57,Conakry,0.0
1979-04-08,-13.62,9.57,Conakry,0.0
1979-04-09,-13.62,9.57,Conakry,0.0
1979-04-10,-13.62,9.57,Conakry,0.0
1979-04-11,-13.62,9.57,Conakry,0.0
