date,lon,lat,city,pr
1979-01-01,3.33,6.58,Lagos,0.0
1979-01-02,3.33,6.58,Lagos,0.0
1979-01-03,3.33,6.58,Lagos,0.0
1979-01-04,3.33,6.58,Lagos,0.0
1979-01-05,3.33,6.58,Lagos,0.0
1979-01-06,3.33,6.58,Lagos,0.0
1979-01-07,3.33,6.58,Lagos,0.0
1979-01-08,3.33,6.58,Lagos,0.0
1979-01-09,3.33,6.58,Lagos,0.0
1979-01-10,3.33,6.58,Lagos,0.0
1979-01-11,3.33,6.58,Lagos,0.98332391227611
1979-01-12,3.33,6.58,Lagos,0.0
1979-01-13,3.33,6.58,Lagos,0.0
1979-01-14,3.33,6.58,Lagos,0.0
1979-01-15,3.33,6.58,Lagos,0.0
1979-01-16,3.33,6.58,Lagos,0.0
1979-01-17,3.33,6.58,Lagos,0.0
1979-01-18,3.33,6.58,Lagos,0.0
1979-01-19,3.33,6.58,Lagos,0.0
1979-01-20,3.33,6.58,Lagos,0.0
1979-01-21,3.33,6.58,Lagos,0.0
1979-01-22,3.33,6.58,Lagos,0.0
1979-01-23,3.33,6.58,Lagos,0.0
1979-01-24,3.33,6.58,Lagos,0.0
1979-01-25,3.33,6.58,Lagos,0.0
1979-01-26,3.33,6.58,Lagos,0.0
1979-01-27,3.33,6.58,Lagos,0.0
1979-01-28,3.33,6.58,Lagos,0.0
1979-01-29,3.33,6.58,Lagos,0.0
1979-01-30,3.33,6.58,Lagos,0.0
1979-01-31,3.33,6.58,Lagos,0.0
1979-02-01,3.33,6.58,Lagos,0.0
1979-02-02,3.33,6.58,Lagos,0.3463189064343763
1979-02-03,3.33,6.58,Lagos,0.0
1979-02-04,3.33,6.58,Lagos,0.0
1979-02-05,3.33,6.58,Lagos,0.0
1979-02-06,3.33,6.58,Lagos,0.0
1979-02-07,3.33,6.58,Lagos,0.0
1979-02-08,3.33,6.58,Lagos,0.0
1979-02-09,3.33,6.58,Lagos,0.0
1979-02-10,3.33,6.58,Lagos,0.0
1979-02-11,3.33,6.58,Lagos,0.0
1979-02-12,3.33,6.58,Lagos,0.0
1979-02-13,3.33,6.58,Lagos,0.0
1979-02-14,3.33,6.58,Lagos,0.0
1979-02-15,3.33,6.58,Lagos,0.0
1979-02-16,3.33,6.58,Lagos,0.0
1979-02-17,3.33,6.58,Lagos,0.0
1979-02-18,3.33,6.58,Lagos,0.0
