date,lon,lat,city,pr
1979-01-01,2.17,13.48,Niamey,0.0
1979-01-02,2.17,13.48,Niamey,0.0
1979-01-03,2.17,13.48,Niamey,0.0
1979-01-04,2.17,13.48,Niamey,0.0
1979-01-05,2.17,13.48,Niamey,0.0
1979-01-06,2.17,13.48,Niamey,0.0
1979-01-07,2.17,13.48,Niamey,0.0
1979-01-08,2.17,13.48,Niamey,0.0
1979-01-09,2.17,13.48,Niamey,0.0
1979-01-10,2.17,13.48,Niamey,0.0
1979-01-11,2.17,13.48,Niamey,0.0
1979-01-12,2.17,13.48,Niamey,0.0
1979-01-13,2.17,13.48,Niamey,0.0
1979-01-14,2.17,13.48,Niamey,0.0
1979-01-15,2.17,13.48,Niamey,0.0
1979-01-16,2.17,13.48,Niamey,0.0
1979-01-17,2.17,13.48,Niamey,0.0
1979-01-18,2.17,13.48,Niamey,0.0
1979-01-19,2.17,13.48,Niamey,0.0
1979-01-20,2.17,13.48,Niamey,0.0
1979-01-21,2.17,13.48,Niamey,0.0
1979-01-22,2.17,13.48,Niamey,0.0
1979-01-23,2.17,13.48,Niamey,0.0
1979-01-24,2.17,13.48,Niamey,0.0
1979-01-25,2.17,13.48,Niamey,0.0
1979-01-26,2.17,13.48,Niamey,0.0
1979-01-27,2.17,13.48,Niamey,0.0
1979-01-28,2.17,13.48,Niamey,0.0
1979-01-29,2.17,13.48,Niamey,0.0
1979-01-30,2.17,13.48,Niamey,0.0
1979-01-31,2.17,13.48,Niamey,0.0
1979-02-01,2.17,13.48,Niamey,0.0
1979-02-02,2.17,13.48,Niamey,0.0
1979-02-03,2.17,13.48,Niamey,0.0
1979-02-04,2.17,13.48,Niamey,0.0
1979-02-05,2.17,13.48,Niamey,0.0
1979-02-06,2.17,13.48,Niamey,0.0
1979-02-07,2.17,13.48,Niamey,0.0
1979-02-08,2.17,13.48,Niamey,0.0
1979-02-09,2.17,13.48,Niamey,0.0
1979-02-10,2.17,13.48,Niamey,0.0
1979-02-11,2.17,13.48,Niamey,0.0
1979-02-12,2.17,13.48,Niamey,0.0
1979-02-13,2.17,13.48,Niamey,0.0
1979-02-14,2.17,13.48,Niamey,0.0
1979-02-15,2.17,13.48,Niamey,0.0
1979-02-16,2.17,13.48,Niamey,0.0
1979-02-17,2.17,13.48,Niamey,0.0
1979-02-18,2.17,13.48,Niamey,0.0
1979-02-19,2.17,13.48,Niamey,0.0
1979-02-20,2.17,13.48,Niamey,0.0
1979-02-21,2.17,13.48,Niamey,0.0
1979-02-22,2.17,13.48,Niamey,0.0
1979-02-23,2.17,13.48,Niamey,0.0
1979-02-24,2.17,13.48,Niamey,0.0
1979-02-25,2.17,13.48,Niamey,0.0
1979-02-26,2.17,13.48,Niamey,0.0
1979-02-27,2.17,13.48,Niamey,0.0
1979-02-28,2.17,13.48,Niamey,0.0
1979-03-01,2.17,13.48,Niamey,0.0
1979-03-02,2.17,13.48,Niamey,0.0
1979-03-03,2.17,13.48,Niamey,0.0
1979-03-04,2.17,13.48,Niamey,0.0
1979-03-05,2.17,13.48,Niamey,0.0
1979-03-06,2.17,13.48,Niamey,0.0
1979-03-07,2.17,13.48,Niamey,0.0
