#      date    value 
 1979-01-01 29.81772 
 1979-01-02 29.86468 
 1979-01-03 27.77861 
 1979-01-04 29.81493 
 1979-01-05 29.81446 
 1979-01-06 30.75319 
 1979-01-07 30.57182 
 1979-01-08 29.86262 
 1979-01-09 29.90802 
 1979-01-10 29.94355 
 1979-01-11 30.76795 
 1979-01-12 23.74749 
 1979-01-13  36.6969 
 1979-01-14 30.36317 
 1979-01-15 31.25203 
 1979-01-16 31.73147 
 1979-01-17 31.29415 
 1979-01-18 29.38039 
 1979-01-19  30.6448 
 1979-01-20 30.64605 
 1979-01-21 30.82149 
 1979-01-22 30.77648 
 1979-01-23 30.94915 
 1979-01-24 30.90502 
 1979-01-25 30.97352 
 1979-01-26 30.05177 
 1979-01-27 30.98898 
 1979-01-28 30.71062 
 1979-01-29 30.95373 
 1979-01-30 30.88128 
 1979-01-31 30.86579 
 1979-02-01 31.65854 
 1979-02-02 31.43279 
 1979-02-03  31.6487 
 1979-02-04 30.79265 
 1979-02-05 30.65506 
 1979-02-06 31.70472 
 1979-02-07 30.74497 
 1979-02-08 31.66455 
 1979-02-09 30.77253 
 1979-02-10 30.63221 
 1979-02-11 27.12146 
 1979-02-12 29.72732 
 1979-02-13  30.8191 
 1979-02-14 31.01372 
 1979-02-15 29.90417 
 1979-02-16  30.1213 
 1979-02-17 30.30011 
 1979-02-18 31.22252 
 1979-02-19 30.37368 
 1979-02-20 29.46588 
 1979-02-21 31.25387 
 1979-02-22 31.71494 
 1979-02-23  31.9258 
 1979-02-24  31.9312 
 1979-02-25 31.95064 
 1979-02-26 31.93684 
 1979-02-27 30.54025 
 1979-02-28 31.07309 
 1979-03-01 30.05238 
 1979-03-02 30.96132 
 1979-03-03  31.2407 
 1979-03-04 30.37748 
 1979-03-05  31.6552 
 1979-03-06 31.97765 
 1979-03-07 31.93592 
 1979-03-08 31.98665 
 1979-03-09 31.09968 
 1979-03-10 32.30748 
 1979-03-11  31.2413 
 1979-03-12 31.83675 
 1979-03-13 28.98728 
 1979-03-14 31.93512 
 1979-03-15 31.82388 
 1979-03-16 32.01682 
 1979-03-17 32.92194 
 1979-03-18 33.10883 
 1979-03-19 32.15116 
 1979-03-20 32.82434 
 1979-03-21  31.8569 
 1979-03-22 24.68948 
 1979-03-23 30.03036 
 1979-03-24 31.18343 
 1979-03-25 30.35691 
 1979-03-26 31.97835 
 1979-03-27  32.1003 
 1979-03-28 32.28512 
 1979-03-29 31.43389 
 1979-03-30 32.11321 
 1979-03-31 30.89914 
 1979-04-01 33.05789 
 1979-04-02   32.062 
 1979-04-03 32.34756 
 1979-04-04 31.83694 
 1979-04-05  31.2849 
 1979-04-06 31.36515 
 1979-04-07 31.54488 
 1979-04-08 31.83502 
 1979-04-09 32.76619 
 1979-04-10 32.12484 
 1979-04-11 32.07533 
 1979-04-12 32.15734 
 1979-04-13 33.78989 
 1979-04-14 32.83642 
 1979-04-15 32.84134 
 1979-04-16  33.5851 
 1979-04-17  32.8922 
 1979-04-18 26.68821 
 1979-04-19 30.74362 
 1979-04-20 31.91571 
 1979-04-21 31.61852 
 1979-04-22 31.90182 
 1979-04-23 31.88337 
 1979-04-24 32.67569 
 1979-04-25  32.5733 
 1979-04-26 32.56693 
 1979-04-27 28.06455 
 1979-04-28 31.39279 
 1979-04-29 30.06717 
 1979-04-30 29.65509 
 1979-05-01 31.27666 
 1979-05-02 27.77647 
 1979-05-03   26.649 
 1979-05-04 29.70876 
 1979-05-05 30.15378 
 1979-05-06 30.53541 
 1979-05-07 30.33791 
 1979-05-08 28.95992 
 1979-05-09 29.53166 
 1979-05-10 31.24416 
 1979-05-11 31.48505 
 1979-05-12 30.58755 
 1979-05-13 30.76876 
 1979-05-14 31.44748 
 1979-05-15 31.52354 
 1979-05-16 33.01969 
 1979-05-17 31.21408 
 1979-05-18 31.20593 
 1979-05-19 29.49295 
 1979-05-20 30.80567 
 1979-05-21 32.23659 
 1979-05-22 31.55861 
 1979-05-23 32.46868 
 1979-05-24 31.51198 
 1979-05-25 29.90029 
 1979-05-26 26.01593 
 1979-05-27 30.41614 
 1979-05-28 30.82036 
 1979-05-29 30.46539 
 1979-05-30 28.07921 
 1979-05-31 29.61692 
 1979-06-01 30.26215 
 1979-06-02 27.31387 
 1979-06-03 26.74495 
 1979-06-04 31.57022 
 1979-06-05 27.33437 
 1979-06-06 28.43171 
 1979-06-07 30.48161 
 1979-06-08 28.65737 
 1979-06-09 28.24513 
 1979-06-10 28.09056 
 1979-06-11 31.58785 
 1979-06-12 29.96776 
 1979-06-13 27.58436 
 1979-06-14 29.81106 
 1979-06-15 28.86318 
 1979-06-16 29.86067 
 1979-06-17 27.73496 
 1979-06-18  28.5318 
 1979-06-19 29.99533 
 1979-06-20 27.76416 
