#      date    value 
 1979-01-01 31.80422 
 1979-01-02 32.02083 
 1979-01-03 30.93303 
 1979-01-04 29.60552 
 1979-01-05 28.77683 
 1979-01-06 32.27837 
 1979-01-07 31.10991 
 1979-01-08 31.36862 
 1979-01-09 33.30974 
 1979-01-10 27.67652 
 1979-01-11 31.25155 
 1979-01-12 32.25759 
 1979-01-13 33.06416 
 1979-01-14 32.05036 
 1979-01-15 31.92203 
 1979-01-16 32.58677 
 1979-01-17 32.56081 
 1979-01-18 27.00624 
 1979-01-19 32.73223 
 1979-01-20 31.30209 
 1979-01-21 26.35743 
 1979-01-22 28.02026 
 1979-01-23 32.67392 
 1979-01-24 32.93985 
 1979-01-25  33.2672 
 1979-01-26 32.02261 
 1979-01-27 32.19933 
 1979-01-28 32.19861 
 1979-01-29 30.53438 
 1979-01-30 33.12537 
 1979-01-31 33.04498 
 1979-02-01 33.17048 
 1979-02-02 27.51124 
 1979-02-03 34.91477 
 1979-02-04 31.39648 
 1979-02-05 32.27146 
 1979-02-06 32.39149 
 1979-02-07 32.38084 
 1979-02-08 27.69193 
 1979-02-09 32.28958 
 1979-02-10 33.22538 
 1979-02-11  32.3181 
 1979-02-12 33.13194 
 1979-02-13  26.7191 
 1979-02-14 33.15805 
 1979-02-15 33.13495 
 1979-02-16 34.13314 
 1979-02-17 31.93598 
 1979-02-18 33.13288 
 1979-02-19 32.42136 
 1979-02-20 32.53602 
 1979-02-21 33.08347 
 1979-02-22 33.11017 
 1979-02-23 28.94694 
 1979-02-24 32.19668 
 1979-02-25 31.47661 
 1979-02-26 33.88996 
 1979-02-27  27.8142 
 1979-02-28 28.95551 
 1979-03-01 32.79039 
 1979-03-02 33.94323 
 1979-03-03 32.20161 
 1979-03-04 26.63067 
 1979-03-05 32.99668 
 1979-03-06 32.15267 
 1979-03-07 32.70529 
 1979-03-08 33.16949 
 1979-03-09 32.60664 
 1979-03-10 33.26405 
 1979-03-11 32.09085 
 1979-03-12 32.79732 
 1979-03-13 32.19102 
 1979-03-14 33.69935 
 1979-03-15 28.40798 
 1979-03-16  33.0989 
 1979-03-17 33.35476 
 1979-03-18  33.4543 
 1979-03-19 33.17387 
 1979-03-20 32.73073 
 1979-03-21 33.13964 
 1979-03-22 29.45093 
 1979-03-23  33.7466 
 1979-03-24 29.88069 
 1979-03-25 26.69598 
 1979-03-26 32.51132 
 1979-03-27 29.54712 
 1979-03-28 28.65175 
 1979-03-29 29.45816 
 1979-03-30 34.03162 
 1979-03-31 32.71812 
 1979-04-01 33.78979 
 1979-04-02 27.69246 
 1979-04-03 30.09343 
 1979-04-04 32.38886 
 1979-04-05 30.23914 
 1979-04-06 32.03281 
 1979-04-07 33.12926 
 1979-04-08  32.9465 
 1979-04-09 30.84383 
 1979-04-10 32.12984 
 1979-04-11 33.87225 
 1979-04-12 32.15851 
 1979-04-13 33.00161 
 1979-04-14 34.27813 
 1979-04-15 33.22916 
 1979-04-16 34.04269 
 1979-04-17 33.80233 
 1979-04-18 27.56347 
 1979-04-19 33.13157 
 1979-04-20 32.64344 
 1979-04-21 32.25923 
 1979-04-22 33.30744 
 1979-04-23 30.74924 
 1979-04-24 32.11266 
 1979-04-25 33.04156 
 1979-04-26 31.05798 
 1979-04-27 29.24255 
 1979-04-28 30.21239 
 1979-04-29 33.72459 
 1979-04-30 27.08806 
 1979-05-01 31.95914 
 1979-05-02 24.90825 
