#      date    value 
 1979-01-01  29.7922 
 1979-01-02 28.46919 
 1979-01-03 32.22513 
 1979-01-04 29.83674 
 1979-01-05 31.67387 
 1979-01-06 28.97954 
 1979-01-07 30.69414 
 1979-01-08 26.58361 
 1979-01-09 28.51737 
 1979-01-10 31.85791 
 1979-01-11 28.95472 
 1979-01-12  30.6363 
 1979-01-13 30.45433 
 1979-01-14 29.77745 
 1979-01-15 29.45229 
 1979-01-16   28.623 
 1979-01-17 29.95864 
 1979-01-18 27.69284 
 1979-01-19 33.26138 
 1979-01-20 31.01367 
 1979-01-21  31.4176 
 1979-01-22 33.35045 
 1979-01-23 35.08188 
 1979-01-24 31.96143 
 1979-01-25 35.11428 
 1979-01-26  35.9285 
 1979-01-27 30.19581 
 1979-01-28 31.59932 
 1979-01-29 34.46658 
 1979-01-30 35.55081 
 1979-01-31 32.31583 
 1979-02-01 26.15314 
 1979-02-02  32.0821 
 1979-02-03 31.01317 
 1979-02-04 30.85223 
 1979-02-05 32.28035 
 1979-02-06 31.78309 
 1979-02-07 31.02056 
 1979-02-08 29.53409 
 1979-02-09 31.54076 
 1979-02-10   30.165 
 1979-02-11 30.54791 
 1979-02-12  31.4565 
 1979-02-13 32.30468 
 1979-02-14 34.35772 
 1979-02-15  30.7191 
 1979-02-16 30.05196 
 1979-02-17 31.58736 
 1979-02-18 31.16566 
 1979-02-19 32.43552 
 1979-02-20 32.88673 
 1979-02-21  29.4973 
 1979-02-22 32.74277 
 1979-02-23 30.82174 
 1979-02-24 25.23832 
 1979-02-25 32.08216 
 1979-02-26 32.51575 
 1979-02-27 32.39134 
 1979-02-28 33.04011 
 1979-03-01  31.8301 
 1979-03-02 28.60936 
 1979-03-03 32.67524 
 1979-03-04 34.05208 
 1979-03-05 30.94939 
 1979-03-06 32.44393 
 1979-03-07 32.39075 
 1979-03-08 33.39853 
 1979-03-09 33.88681 
 1979-03-10 31.85102 
 1979-03-11 30.85485 
 1979-03-12 31.70415 
 1979-03-13 31.75628 
 1979-03-14 32.04594 
 1979-03-15 24.57742 
 1979-03-16 32.96568 
 1979-03-17 32.43603 
 1979-03-18 32.92188 
 1979-03-19 33.60292 
 1979-03-20 31.61326 
 1979-03-21 30.98932 
 1979-03-22 33.38829 
 1979-03-23 32.59496 
 1979-03-24 32.47246 
 1979-03-25 27.84552 
 1979-03-26 28.30737 
 1979-03-27 31.69783 
 1979-03-28 33.17301 
 1979-03-29 33.86817 
 1979-03-30 31.89169 
 1979-03-31  32.1286 
 1979-04-01 32.63264 
 1979-04-02 32.69043 
 1979-04-03 31.23796 
 1979-04-04 32.94952 
 1979-04-05 32.78327 
 1979-04-06 33.45027 
 1979-04-07 33.41742 
 1979-04-08 30.26092 
 1979-04-09 32.80296 
 1979-04-10 31.80183 
 1979-04-11 38.65032 
 1979-04-12 34.63134 
 1979-04-13 31.94344 
 1979-04-14 31.83614 
 1979-04-15 31.64034 
 1979-04-16 32.19863 
 1979-04-17 32.03155 
 1979-04-18 30.68386 
 1979-04-19 30.11419 
 1979-04-20  32.1522 
 1979-04-21 36.33219 
 1979-04-22 28.02129 
 1979-04-23  26.7949 
 1979-04-24  34.7165 
 1979-04-25 35.74082 
 1979-04-26 32.25612 
 1979-04-27 30.61805 
 1979-04-28 32.09432 
 1979-04-29 30.97419 
 1979-04-30 30.97822 
 1979-05-01 27.92799 
 1979-05-02 29.22514 
 1979-05-03 30.74679 
 1979-05-04 30.77656 
 1979-05-05 32.57996 
 1979-05-06  32.6413 
 1979-05-07 33.10428 
 1979-05-08 29.40076 
 1979-05-09 31.49704 
 1979-05-10 32.82881 
 1979-05-11 26.47773 
 1979-05-12 32.05443 
 1979-05-13 32.54253 
 1979-05-14 33.70505 
 1979-05-15  30.7547 
 1979-05-16  29.1408 
 1979-05-17 30.51278 
 1979-05-18 28.35166 
 1979-05-19 31.89211 
 1979-05-20 34.42782 
 1979-05-21 29.91623 
 1979-05-22 31.42273 
 1979-05-23 31.19581 
 1979-05-24 28.07767 
 1979-05-25 27.25856 
 1979-05-26 30.63083 
 1979-05-27 30.62906 
 1979-05-28 30.92093 
 1979-05-29 30.68347 
 1979-05-30 26.09492 
 1979-05-31 29.24697 
 1979-06-01 29.94596 
 1979-06-02 28.52295 
 1979-06-03 31.03516 
 1979-06-04 29.74899 
 1979-06-05 29.12336 
 1979-06-06 24.62985 
 1979-06-07 29.75612 
 1979-06-08 28.94371 
 1979-06-09 28.09873 
 1979-06-10 28.46334 
 1979-06-11 26.97375 
 1979-06-12  28.8626 
 1979-06-13 29.39206 
 1979-06-14 27.66019 
 1979-06-15 27.57587 
 1979-06-16 29.15173 
 1979-06-17 27.76418 
 1979-06-18 26.75335 
 1979-06-19 26.06998 
 1979-06-20 28.94415 
 1979-06-21 29.20651 
 1979-06-22 27.53377 
 1979-06-23 26.50046 
 1979-06-24  26.9924 
 1979-06-25 28.24754 
 1979-06-26 26.81134 
 1979-06-27  30.3185 
 1979-06-28 29.49572 
 1979-06-29 28.92597 
 1979-06-30 29.15246 
 1979-07-01 29.82795 
 1979-07-02  29.9056 
 1979-07-03 29.00694 
 1979-07-04 29.99256 
 1979-07-05 28.41806 
 1979-07-06 27.28037 
 1979-07-07 31.20969 
 1979-07-08 29.61657 
 1979-07-09 30.57615 
 1979-07-10 28.81836 
 1979-07-11 43.99652 
 1979-07-12 27.52182 
 1979-07-13 28.58102 
 1979-07-14  28.7915 
 1979-07-15 27.17767 
 1979-07-16 27.79856 
 1979-07-17 28.92062 
 1979-07-18 27.07329 
 1979-07-19 25.66869 
 1979-07-20 26.83092 
 1979-07-21 26.79512 
 1979-07-22 27.88883 
 1979-07-23 25.45682 
 1979-07-24 27.45852 
 1979-07-25 27.99407 
 1979-07-26 27.38449 
 1979-07-27 28.48599 
 1979-07-28 28.76814 
 1979-07-29 26.78719 
 1979-07-30 28.76949 
 1979-07-31 27.91909 
 1979-08-01 26.62811 
 1979-08-02 28.94126 
 1979-08-03 28.00903 
 1979-08-04 27.37081 
 1979-08-05 29.76079 
 1979-08-06 29.72116 
 1979-08-07 27.56959 
 1979-08-08 25.88487 
 1979-08-09 28.91766 
 1979-08-10 28.81967 
 1979-08-11 28.77946 
 1979-08-12 30.04338 
 1979-08-13 27.72496 
 1979-08-14 24.49247 
 1979-08-15 27.65203 
 1979-08-16  29.6789 
 1979-08-17 29.35847 
 1979-08-18 27.45109 
 1979-08-19 14.64507 
 1979-08-20 28.52161 
 1979-08-21 23.96442 
 1979-08-22 26.53914 
 1979-08-23 39.80037 
 1979-08-24 24.49952 
 1979-08-25 29.05553 
 1979-08-26 26.34654 
 1979-08-27 28.31797 
 1979-08-28 26.63455 
 1979-08-29  29.4826 
 1979-08-30  29.1812 
 1979-08-31  27.9658 
 1979-09-01 29.56244 
 1979-09-02 28.10761 
 1979-09-03  26.1591 
 1979-09-04 28.40856 
 1979-09-05 28.64139 
 1979-09-06 27.88649 
 1979-09-07  29.4819 
 1979-09-08 26.39576 
 1979-09-09 27.72171 
 1979-09-10  29.4143 
 1979-09-11 29.30099 
 1979-09-12 30.31136 
 1979-09-13 29.51335 
 1979-09-14 26.43134 
 1979-09-15 28.48516 
 1979-09-16 27.21282 
 1979-09-17 29.38343 
 1979-09-18 29.42969 
 1979-09-19 28.88252 
 1979-09-20 30.38971 
 1979-09-21 26.38557 
 1979-09-22 28.61172 
 1979-09-23 30.31395 
 1979-09-24 30.16093 
 1979-09-25 27.38943 
 1979-09-26 27.53004 
 1979-09-27 30.25828 
 1979-09-28 30.90861 
 1979-09-29 29.68901 
 1979-09-30 30.05696 
 1979-10-01 27.98193 
 1979-10-02 29.01705 
 1979-10-03 26.88095 
 1979-10-04 29.80688 
 1979-10-05 34.24897 
 1979-10-06 30.81519 
 1979-10-07 28.72862 
 1979-10-08 29.61258 
 1979-10-09 30.80747 
 1979-10-10 29.76319 
 1979-10-11 30.21238 
 1979-10-12 29.82613 
 1979-10-13 27.55135 
 1979-10-14 30.10918 
 1979-10-15 26.10772 
 1979-10-16 29.15754 
 1979-10-17 29.97392 
 1979-10-18 30.73018 
 1979-10-19  30.2366 
 1979-10-20 29.43426 
 1979-10-21 30.38463 
 1979-10-22 31.29112 
 1979-10-23 28.90261 
 1979-10-24  28.4584 
 1979-10-25 26.13395 
 1979-10-26 29.14708 
 1979-10-27 29.80097 
 1979-10-28 29.45388 
 1979-10-29 29.40178 
 1979-10-30 29.94301 
 1979-10-31 29.60406 
 1979-11-01 27.91235 
 1979-11-02 30.19708 
 1979-11-03 32.26958 
 1979-11-04 30.40525 
 1979-11-05 29.43976 
 1979-11-06 30.13038 
 1979-11-07 23.60289 
 1979-11-08  27.5486 
 1979-11-09 30.07186 
 1979-11-10 29.70921 
 1979-11-11 29.03815 
 1979-11-12 30.13243 
 1979-11-13  31.3226 
 1979-11-14 30.42494 
 1979-11-15 28.41013 
 1979-11-16 31.26516 
 1979-11-17  30.6446 
 1979-11-18 26.91044 
 1979-11-19 29.73474 
 1979-11-20 30.67935 
 1979-11-21 30.58403 
 1979-11-22 29.83527 
 1979-11-23 31.29411 
 1979-11-24 30.46612 
 1979-11-25 31.94061 
 1979-11-26 32.10808 
 1979-11-27 31.38204 
 1979-11-28 30.68811 
 1979-11-29 30.87075 
 1979-11-30 31.07466 
 1979-12-01  26.5872 
 1979-12-02 30.19846 
 1979-12-03 25.47369 
 1979-12-04 30.63687 
 1979-12-05 30.88392 
 1979-12-06 29.60511 
 1979-12-07 26.31012 
 1979-12-08 28.76876 
 1979-12-09 30.29303 
 1979-12-10 28.97061 
 1979-12-11 29.54238 
 1979-12-12 32.05716 
 1979-12-13 30.83319 
 1979-12-14 29.22898 
 1979-12-15 29.65111 
 1979-12-16 32.98874 
 1979-12-17 32.15705 
 1979-12-18 31.10437 
 1979-12-19  31.3608 
 1979-12-20 29.76093 
 1979-12-21 29.64757 
 1979-12-22 30.55602 
 1979-12-23 30.59549 
 1979-12-24 29.84503 
 1979-12-25 30.42925 
 1979-12-26 29.81956 
 1979-12-27 28.32003 
 1979-12-28 30.07018 
 1979-12-29 31.28965 
 1979-12-30 28.55165 
 1979-12-31 31.75291 
 1980-01-01 30.81257 
 1980-01-02 30.60546 
 1980-01-03 30.46107 
 1980-01-04 29.08894 
 1980-01-05 30.06068 
 1980-01-06  25.7058 
 1980-01-07  26.7017 
 1980-01-08 28.41239 
 1980-01-09   29.588 
 1980-01-10 30.43893 
 1980-01-11 31.79052 
 1980-01-12  35.0468 
 1980-01-13 29.18751 
 1980-01-14 30.88266 
 1980-01-15 30.44739 
 1980-01-16 27.48692 
 1980-01-17 32.29922 
 1980-01-18 31.15261 
 1980-01-19 32.04272 
 1980-01-20 30.96992 
 1980-01-21 27.06531 
 1980-01-22 30.85537 
 1980-01-23  31.6941 
 1980-01-24 33.63987 
 1980-01-25 34.59283 
 1980-01-26   29.917 
 1980-01-27 29.87952 
 1980-01-28 31.62399 
 1980-01-29 31.37858 
 1980-01-30 27.07408 
 1980-01-31 34.76305 
 1980-02-01 30.65177 
 1980-02-02 31.89399 
 1980-02-03 32.34786 
 1980-02-04 29.80305 
 1980-02-05 34.72382 
 1980-02-06 27.75987 
 1980-02-07 21.41889 
 1980-02-08 28.22324 
 1980-02-09 31.82972 
 1980-02-10 31.43702 
 1980-02-11  32.3608 
 1980-02-12 30.32855 
 1980-02-13 30.83062 
 1980-02-14  33.0144 
 1980-02-15 31.49832 
 1980-02-16 32.62892 
 1980-02-17 32.84039 
 1980-02-18 29.57245 
 1980-02-19 30.60381 
 1980-02-20 31.86163 
 1980-02-21 31.45406 
 1980-02-22 28.89807 
 1980-02-23 29.42005 
 1980-02-24 26.83583 
 1980-02-25 26.80872 
 1980-02-26 32.29174 
 1980-02-27 31.08369 
 1980-02-28  31.2369 
 1980-02-29 26.90273 
 1980-03-01  27.8439 
 1980-03-02 30.84432 
 1980-03-03 31.67097 
 1980-03-04 29.83561 
 1980-03-05 32.54791 
 1980-03-06 31.02145 
 1980-03-07  32.0442 
 1980-03-08 30.83967 
 1980-03-09 32.48894 
 1980-03-10 23.51151 
 1980-03-11 30.03894 
 1980-03-12 31.78637 
 1980-03-13 31.98911 
 1980-03-14 28.52267 
 1980-03-15 32.70147 
 1980-03-16 31.52896 
 1980-03-17   29.866 
 1980-03-18 30.02699 
 1980-03-19 31.16328 
 1980-03-20 30.80013 
 1980-03-21 34.48845 
 1980-03-22 32.24187 
 1980-03-23 29.66386 
 1980-03-24  32.1882 
 1980-03-25 31.83444 
 1980-03-26 35.78998 
 1980-03-27 32.87658 
 1980-03-28 34.31898 
 1980-03-29 -6.994152 
 1980-03-30 33.20201 
 1980-03-31 32.49575 
 1980-04-01 31.70545 
 1980-04-02 34.26915 
 1980-04-03 32.37213 
 1980-04-04 31.80025 
 1980-04-05 32.20061 
 1980-04-06 27.12793 
 1980-04-07 33.83294 
 1980-04-08 31.79288 
 1980-04-09 31.75362 
 1980-04-10 32.13082 
 1980-04-11 31.35848 
 1980-04-12 34.88729 
 1980-04-13 32.44663 
 1980-04-14 32.09328 
 1980-04-15 33.28669 
 1980-04-16 31.55578 
 1980-04-17  31.0775 
 1980-04-18 27.41589 
 1980-04-19 31.66467 
 1980-04-20  34.7239 
 1980-04-21 32.85305 
 1980-04-22 33.85271 
 1980-04-23 31.78935 
 1980-04-24 32.65377 
 1980-04-25  31.2499 
 1980-04-26 32.70865 
 1980-04-27 31.64874 
 1980-04-28 28.79543 
 1980-04-29   32.622 
 1980-04-30 31.78675 
 1980-05-01 32.27692 
 1980-05-02 30.63746 
 1980-05-03 31.51036 
 1980-05-04 29.64943 
 1980-05-05 30.71791 
 1980-05-06  32.1814 
 1980-05-07 30.06461 
 1980-05-08  29.7068 
 1980-05-09 32.19621 
 1980-05-10 30.63793 
 1980-05-11 30.88096 
 1980-05-12 30.84763 
 1980-05-13 21.77018 
 1980-05-14  30.5442 
 1980-05-15 27.55278 
 1980-05-16 31.64369 
 1980-05-17 31.41348 
 1980-05-18 28.64435 
 1980-05-19 30.69634 
 1980-05-20 30.04743 
 1980-05-21   30.696 
 1980-05-22 31.64446 
 1980-05-23 28.91411 
 1980-05-24 30.87046 
 1980-05-25 30.53636 
 1980-05-26 28.56899 
 1980-05-27 28.61681 
 1980-05-28 25.19837 
 1980-05-29 27.88562 
 1980-05-30 30.09917 
 1980-05-31 31.37312 
 1980-06-01 30.58314 
 1980-06-02 29.50953 
 1980-06-03  31.3471 
 1980-06-04 10.28984 
 1980-06-05  27.8155 
 1980-06-06 28.82163 
 1980-06-07 30.03047 
 1980-06-08 29.48128 
 1980-06-09 30.73256 
 1980-06-10 30.19418 
 1980-06-11 30.43232 
 1980-06-12 31.47899 
 1980-06-13 31.89533 
 1980-06-14 29.81989 
 1980-06-15  31.3395 
 1980-06-16 30.52703 
 1980-06-17 29.62153 
 1980-06-18 30.59967 
 1980-06-19 30.36692 
 1980-06-20 30.50357 
 1980-06-21 29.07252 
 1980-06-22 30.11822 
