#      date    value 
 1979-01-01 32.13301 
 1979-01-02 31.53633 
 1979-01-03 31.03518 
 1979-01-04 30.87407 
 1979-01-05 30.85499 
 1979-01-06 28.72547 
 1979-01-07 31.58032 
 1979-01-08 31.77142 
 1979-01-09 32.79168 
 1979-01-10 32.07864 
 1979-01-11 31.45077 
 1979-01-12 32.08274 
 1979-01-13 32.10483 
 1979-01-14 32.08249 
 1979-01-15 32.02583 
 1979-01-16  31.9864 
 1979-01-17  32.9804 
 1979-01-18  32.3903 
 1979-01-19 32.50689 
 1979-01-20  32.9592 
 1979-01-21 32.88929 
 1979-01-22 32.63868 
 1979-01-23 32.80888 
 1979-01-24 32.65121 
 1979-01-25 33.50249 
 1979-01-26 32.99083 
 1979-01-27 33.39339 
 1979-01-28 33.54252 
 1979-01-29 32.75564 
 1979-01-30 33.28945 
 1979-01-31 33.06968 
 1979-02-01 33.11971 
 1979-02-02 33.43555 
 1979-02-03  32.9614 
 1979-02-04 32.86462 
 1979-02-05 33.51382 
 1979-02-06 33.62857 
 1979-02-07 33.43753 
 1979-02-08 33.72786 
 1979-02-09 33.13644 
 1979-02-10 33.54185 
 1979-02-11 33.80679 
 1979-02-12 33.35345 
 1979-02-13 27.99923 
 1979-02-14 33.52777 
 1979-02-15 32.57144 
 1979-02-16 33.29791 
 1979-02-17 32.78029 
 1979-02-18 32.63965 
 1979-02-19  34.2735 
 1979-02-20 30.51649 
 1979-02-21 30.33572 
 1979-02-22 32.83154 
 1979-02-23  32.8564 
 1979-02-24 33.30856 
 1979-02-25 31.20535 
 1979-02-26 32.64645 
 1979-02-27 33.58768 
 1979-02-28 33.62119 
 1979-03-01  32.2318 
 1979-03-02 32.76242 
 1979-03-03 32.84562 
 1979-03-04 32.05997 
 1979-03-05 32.59451 
 1979-03-06 33.37944 
 1979-03-07 33.82549 
 1979-03-08 34.04714 
 1979-03-09 33.99879 
 1979-03-10  34.0605 
 1979-03-11 34.26825 
 1979-03-12 33.58362 
 1979-03-13 31.81568 
 1979-03-14  34.1162 
 1979-03-15 32.93518 
 1979-03-16 33.92752 
 1979-03-17 33.09722 
 1979-03-18 33.39656 
 1979-03-19 34.36003 
 1979-03-20 33.27187 
 1979-03-21 34.51376 
 1979-03-22 29.71133 
 1979-03-23 31.77221 
 1979-03-24 30.08549 
 1979-03-25 31.43847 
 1979-03-26  31.9816 
 1979-03-27 35.06707 
 1979-03-28 33.39119 
 1979-03-29 33.66026 
 1979-03-30 32.51155 
 1979-03-31 33.22395 
 1979-04-01 31.59409 
 1979-04-02 27.63523 
 1979-04-03 33.70501 
 1979-04-04 32.83962 
 1979-04-05 32.51245 
 1979-04-06 33.34686 
 1979-04-07 32.06697 
 1979-04-08 33.41096 
 1979-04-09 32.69408 
 1979-04-10 33.37136 
 1979-04-11 34.94774 
 1979-04-12 32.88464 
 1979-04-13 33.86797 
 1979-04-14 33.89909 
 1979-04-15 34.03611 
 1979-04-16 33.77674 
 1979-04-17 30.41416 
 1979-04-18 33.00515 
 1979-04-19 33.26254 
 1979-04-20 31.74375 
 1979-04-21 32.04283 
 1979-04-22 33.08561 
 1979-04-23 32.16103 
 1979-04-24 32.75749 
 1979-04-25 32.66878 
 1979-04-26 31.05553 
 1979-04-27 30.91829 
 1979-04-28 30.96123 
 1979-04-29 32.22685 
 1979-04-30 28.99422 
 1979-05-01 31.41714 
 1979-05-02 31.57895 
 1979-05-03 30.74187 
 1979-05-04 29.98591 
 1979-05-05 31.07623 
 1979-05-06 28.60154 
 1979-05-07 29.78171 
 1979-05-08 30.82072 
 1979-05-09 29.57754 
 1979-05-10 31.72372 
 1979-05-11 30.66018 
 1979-05-12 31.17452 
 1979-05-13 31.12255 
 1979-05-14 31.50222 
 1979-05-15 31.74058 
 1979-05-16 32.33976 
 1979-05-17 28.15096 
 1979-05-18 27.78553 
 1979-05-19  30.3197 
 1979-05-20 29.23796 
 1979-05-21 32.04971 
 1979-05-22 30.22745 
 1979-05-23 32.22887 
 1979-05-24 32.56047 
 1979-05-25  31.5654 
 1979-05-26 30.99523 
 1979-05-27 31.63396 
 1979-05-28 31.94829 
 1979-05-29  31.3913 
 1979-05-30 28.75457 
 1979-05-31 30.59861 
 1979-06-01  29.7794 
 1979-06-02  27.3643 
 1979-06-03 31.19209 
 1979-06-04 28.85469 
 1979-06-05 26.84823 
 1979-06-06 26.75611 
 1979-06-07 30.13084 
 1979-06-08   26.437 
 1979-06-09 28.23201 
 1979-06-10 26.34437 
 1979-06-11 25.84321 
 1979-06-12 28.15698 
 1979-06-13 29.30531 
 1979-06-14 29.39756 
 1979-06-15 30.21214 
 1979-06-16 28.94438 
 1979-06-17  29.6555 
 1979-06-18 27.02019 
 1979-06-19  28.1867 
 1979-06-20 27.31805 
 1979-06-21 28.66634 
 1979-06-22 27.87601 
 1979-06-23  26.8606 
 1979-06-24 28.28822 
 1979-06-25 28.65947 
 1979-06-26 29.09473 
 1979-06-27  29.6152 
 1979-06-28 28.36916 
 1979-06-29 28.82767 
 1979-06-30 27.60426 
 1979-07-01 29.23958 
 1979-07-02 29.65845 
 1979-07-03 29.36491 
 1979-07-04 26.75331 
 1979-07-05 29.34522 
 1979-07-06  26.7638 
 1979-07-07 25.54902 
 1979-07-08 27.61288 
 1979-07-09 28.41073 
 1979-07-10  29.1443 
 1979-07-11 26.99357 
 1979-07-12 26.21935 
 1979-07-13 27.76948 
 1979-07-14 26.24536 
 1979-07-15 28.96903 
 1979-07-16 28.85885 
 1979-07-17  26.3156 
 1979-07-18 26.18199 
 1979-07-19  27.4771 
 1979-07-20 29.10864 
 1979-07-21 27.80844 
 1979-07-22 28.45166 
 1979-07-23 26.88954 
 1979-07-24 27.02741 
 1979-07-25 28.35083 
 1979-07-26 28.95762 
 1979-07-27 27.90023 
 1979-07-28  28.4866 
 1979-07-29 28.49591 
 1979-07-30 26.71914 
 1979-07-31  26.8516 
 1979-08-01 27.11452 
 1979-08-02  28.5427 
 1979-08-03 28.33154 
 1979-08-04 29.17994 
 1979-08-05 28.13208 
 1979-08-06 28.12029 
 1979-08-07 27.96129 
 1979-08-08 27.89488 
 1979-08-09 29.36373 
 1979-08-10 29.49676 
 1979-08-11 28.29374 
 1979-08-12 28.81726 
 1979-08-13 28.02962 
 1979-08-14   27.337 
 1979-08-15 27.66598 
 1979-08-16 27.50433 
 1979-08-17 26.45371 
 1979-08-18 27.98323 
 1979-08-19 28.38383 
 1979-08-20 29.26909 
 1979-08-21 25.55532 
 1979-08-22 27.80658 
 1979-08-23  27.7108 
 1979-08-24 27.86032 
 1979-08-25 25.82512 
 1979-08-26 28.65594 
 1979-08-27 28.94333 
 1979-08-28 25.40529 
 1979-08-29 27.51919 
 1979-08-30 29.31483 
 1979-08-31 28.80482 
 1979-09-01 27.13433 
 1979-09-02 25.85676 
 1979-09-03 29.15749 
 1979-09-04 28.90064 
 1979-09-05 29.44154 
 1979-09-06 28.94683 
 1979-09-07 27.08658 
 1979-09-08 29.44696 
 1979-09-09 28.82525 
 1979-09-10  28.4295 
 1979-09-11 25.39988 
 1979-09-12 28.33926 
 1979-09-13 28.86117 
 1979-09-14  31.5458 
 1979-09-15 28.54084 
 1979-09-16 29.43313 
 1979-09-17 25.49642 
 1979-09-18 26.71277 
 1979-09-19  29.2934 
 1979-09-20 29.77624 
 1979-09-21 28.62784 
 1979-09-22 27.22821 
 1979-09-23 25.67511 
 1979-09-24 30.09636 
 1979-09-25 30.03309 
 1979-09-26 29.76386 
 1979-09-27 29.30641 
 1979-09-28 29.25995 
 1979-09-29 30.52593 
 1979-09-30  28.0843 
 1979-10-01 29.54512 
 1979-10-02  27.8121 
 1979-10-03  29.9843 
 1979-10-04 30.49244 
 1979-10-05 30.92712 
 1979-10-06 30.69579 
 1979-10-07 30.03374 
 1979-10-08 30.23966 
 1979-10-09 29.34182 
 1979-10-10 30.78109 
 1979-10-11  28.7954 
 1979-10-12 28.40975 
 1979-10-13 31.03227 
 1979-10-14  28.8215 
 1979-10-15 31.00041 
 1979-10-16 31.35828 
 1979-10-17 29.65898 
 1979-10-18 30.33158 
 1979-10-19 29.68583 
 1979-10-20 28.15224 
 1979-10-21 30.39104 
 1979-10-22 31.21061 
 1979-10-23 30.09808 
 1979-10-24 30.98622 
 1979-10-25 29.84343 
 1979-10-26 27.63597 
 1979-10-27 28.27831 
 1979-10-28 31.61669 
 1979-10-29  30.4438 
 1979-10-30 27.17207 
 1979-10-31 28.95153 
 1979-11-01 30.22166 
 1979-11-02 29.01977 
 1979-11-03 30.75021 
