#      date    value 
 1979-01-01 32.14331 
 1979-01-02 31.47515 
 1979-01-03 32.17776 
 1979-01-04 32.42458 
 1979-01-05 31.10427 
 1979-01-06 32.39184 
 1979-01-07 31.45832 
 1979-01-08 32.33833 
 1979-01-09 32.41072 
 1979-01-10 32.50805 
 1979-01-11 32.32238 
 1979-01-12 32.40552 
 1979-01-13 33.26522 
 1979-01-14 31.97339 
 1979-01-15 32.41803 
 1979-01-16 32.52652 
 1979-01-17 33.30094 
 1979-01-18 32.39664 
 1979-01-19 32.97922 
 1979-01-20 32.46498 
 1979-01-21 32.39729 
 1979-01-22 32.26732 
 1979-01-23 32.44421 
 1979-01-24 32.53392 
 1979-01-25 32.91154 
 1979-01-26 33.22289 
 1979-01-27 32.96182 
 1979-01-28 32.29809 
 1979-01-29  33.1937 
 1979-01-30 33.23982 
 1979-01-31 33.21194 
 1979-02-01 32.76918 
 1979-02-02 32.50164 
 1979-02-03 32.35469 
 1979-02-04 32.00924 
 1979-02-05 33.14767 
 1979-02-06 33.52651 
 1979-02-07 32.51152 
 1979-02-08 32.33433 
 1979-02-09 32.69102 
 1979-02-10  33.3955 
 1979-02-11 32.25072 
 1979-02-12 33.12818 
 1979-02-13 27.62337 
 1979-02-14 32.34269 
 1979-02-15 32.23689 
 1979-02-16 33.21875 
 1979-02-17 32.21535 
 1979-02-18 32.48871 
 1979-02-19 34.30933 
 1979-02-20 32.70302 
 1979-02-21  32.4073 
 1979-02-22 32.98866 
 1979-02-23 31.85557 
 1979-02-24 31.44827 
 1979-02-25 31.63703 
 1979-02-26 33.68652 
 1979-02-27 31.64394 
 1979-02-28  33.6717 
 1979-03-01  30.3918 
 1979-03-02 32.94236 
 1979-03-03 31.02662 
 1979-03-04 33.37277 
 1979-03-05 33.85164 
 1979-03-06 33.21255 
 1979-03-07 32.66952 
 1979-03-08 33.45835 
 1979-03-09 33.11314 
 1979-03-10  33.4867 
 1979-03-11 33.22812 
 1979-03-12 32.90762 
 1979-03-13 33.45892 
 1979-03-14 34.12383 
 1979-03-15 29.25059 
 1979-03-16 34.02046 
 1979-03-17 33.47019 
 1979-03-18 33.86808 
 1979-03-19 33.69729 
 1979-03-20 33.32015 
 1979-03-21 33.70065 
 1979-03-22 29.63065 
 1979-03-23  32.0424 
 1979-03-24 31.23688 
 1979-03-25 32.36321 
 1979-03-26  33.1237 
 1979-03-27 34.18367 
 1979-03-28 33.42752 
 1979-03-29  33.4614 
 1979-03-30 33.10561 
 1979-03-31 32.82396 
 1979-04-01 34.30038 
 1979-04-02 27.58999 
 1979-04-03 32.18176 
 1979-04-04   32.516 
 1979-04-05 31.34369 
 1979-04-06 32.40758 
 1979-04-07 33.25784 
 1979-04-08 33.20921 
 1979-04-09 31.43563 
 1979-04-10 33.15106 
 1979-04-11 33.54508 
 1979-04-12  33.1443 
 1979-04-13  33.2993 
 1979-04-14 33.37617 
 1979-04-15 34.24564 
 1979-04-16 33.61814 
 1979-04-17 33.69828 
 1979-04-18 31.64928 
 1979-04-19 33.25952 
 1979-04-20 31.98426 
 1979-04-21 34.15189 
 1979-04-22 33.03632 
 1979-04-23 30.94803 
