#      date    value 
 1979-01-01 33.21776 
 1979-01-02 33.02921 
 1979-01-03 32.92435 
 1979-01-04 29.43706 
 1979-01-05 34.17649 
 1979-01-06 33.25999 
 1979-01-07 33.15289 
 1979-01-08 33.06679 
 1979-01-09 33.28838 
 1979-01-10 35.09647 
 1979-01-11  34.9372 
 1979-01-12 35.14145 
 1979-01-13 33.03448 
 1979-01-14 37.16587 
 1979-01-15 37.09345 
 1979-01-16 37.11802 
 1979-01-17 36.95926 
 1979-01-18 37.07134 
 1979-01-19 35.97472 
 1979-01-20 37.00206 
 1979-01-21 37.07194 
 1979-01-22 38.02025 
 1979-01-23 38.07164 
 1979-01-24 36.26012 
 1979-01-25 37.04101 
 1979-01-26 37.07153 
 1979-01-27 37.19088 
 1979-01-28 38.94254 
 1979-01-29 38.19543 
 1979-01-30 38.06731 
 1979-01-31 37.17799 
 1979-02-01 37.17742 
 1979-02-02 36.00758 
 1979-02-03 35.26511 
 1979-02-04 36.06791 
 1979-02-05 36.24851 
 1979-02-06 37.15916 
 1979-02-07 37.03688 
 1979-02-08 38.06579 
 1979-02-09 38.21419 
 1979-02-10 38.21004 
 1979-02-11   38.267 
 1979-02-12  38.1875 
 1979-02-13 38.20036 
 1979-02-14 38.17296 
 1979-02-15  36.1521 
 1979-02-16 33.98388 
 1979-02-17 33.94793 
 1979-02-18 34.16913 
 1979-02-19 35.18698 
 1979-02-20 36.06444 
 1979-02-21  36.0447 
 1979-02-22 34.90603 
 1979-02-23 35.99202 
 1979-02-24 33.10754 
 1979-02-25 33.09941 
 1979-02-26 34.07922 
 1979-02-27 35.86608 
 1979-02-28 33.12931 
 1979-03-01   30.998 
 1979-03-02 34.09571 
 1979-03-03  35.9235 
 1979-03-04 33.93022 
 1979-03-05 32.89864 
 1979-03-06 34.98244 
 1979-03-07 37.01229 
 1979-03-08 39.00675 
 1979-03-09 39.93137 
 1979-03-10 39.09372 
 1979-03-11 40.09239 
 1979-03-12 40.11578 
 1979-03-13  40.0936 
 1979-03-14 40.97417 
 1979-03-15 40.08052 
 1979-03-16 39.37325 
 1979-03-17 40.91179 
 1979-03-18 42.01699 
 1979-03-19 41.13013 
 1979-03-20 39.88215 
 1979-03-21  37.8681 
 1979-03-22 41.01889 
 1979-03-23 41.15194 
 1979-03-24 41.08094 
 1979-03-25 37.36176 
 1979-03-26 36.21282 
 1979-03-27 38.54598 
 1979-03-28 40.15034 
 1979-03-29 41.98417 
 1979-03-30 42.01003 
 1979-03-31 39.33885 
 1979-04-01  37.0986 
 1979-04-02  35.8961 
