#      date    value 
 1979-01-01 23.84364 
 1979-01-02 26.39054 
 1979-01-03 22.27125 
 1979-01-04 23.71194 
 1979-01-05 23.81418 
 1979-01-06 22.82559 
 1979-01-07  23.5205 
 1979-01-08 25.34399 
 1979-01-09 24.83226 
 1979-01-10 25.43128 
 1979-01-11 25.30527 
 1979-01-12 24.67797 
 1979-01-13 23.35194 
 1979-01-14 25.75293 
 1979-01-15 23.64696 
 1979-01-16 25.28232 
 1979-01-17 23.47837 
 1979-01-18 24.69482 
 1979-01-19 24.45687 
 1979-01-20 26.04565 
 1979-01-21 24.06617 
 1979-01-22 24.17276 
 1979-01-23 24.26998 
 1979-01-24 25.61109 
 1979-01-25  24.7141 
 1979-01-26 24.60698 
 1979-01-27 25.11887 
 1979-01-28  25.6838 
 1979-01-29 24.68229 
 1979-01-30 25.41053 
 1979-01-31  26.4945 
 1979-02-01 25.13327 
 1979-02-02 21.28468 
 1979-02-03  24.7631 
 1979-02-04 24.89974 
 1979-02-05 23.80588 
 1979-02-06 23.88542 
 1979-02-07 25.09776 
 1979-02-08 24.45193 
 1979-02-09 25.81434 
 1979-02-10 24.11974 
 1979-02-11 24.54182 
 1979-02-12 23.63953 
 1979-02-13 25.99279 
 1979-02-14 23.87906 
 1979-02-15 20.94508 
 1979-02-16 24.85377 
 1979-02-17 25.38676 
 1979-02-18 26.62841 
 1979-02-19 24.68673 
 1979-02-20 24.49172 
 1979-02-21  25.7595 
 1979-02-22 25.77158 
 1979-02-23 25.76755 
 1979-02-24 23.98991 
 1979-02-25 25.30599 
 1979-02-26 26.50291 
 1979-02-27 25.65386 
 1979-02-28 25.55418 
 1979-03-01 23.58372 
 1979-03-02 23.97645 
 1979-03-03 25.03933 
 1979-03-04  20.9005 
 1979-03-05 22.12499 
 1979-03-06 26.59347 
 1979-03-07 24.92959 
 1979-03-08 23.60097 
 1979-03-09 25.65731 
 1979-03-10 24.68612 
 1979-03-11 25.45456 
 1979-03-12 24.81168 
 1979-03-13 23.06795 
 1979-03-14 24.85812 
 1979-03-15 26.17472 
 1979-03-16 24.90084 
 1979-03-17 21.17475 
 1979-03-18 25.52016 
 1979-03-19 28.38596 
 1979-03-20 26.25201 
 1979-03-21 25.56077 
 1979-03-22 22.18559 
 1979-03-23 21.61456 
 1979-03-24 24.97606 
 1979-03-25 21.96571 
 1979-03-26 21.90544 
 1979-03-27 23.85512 
 1979-03-28 25.01529 
 1979-03-29 25.60071 
 1979-03-30 27.51888 
 1979-03-31 25.18723 
 1979-04-01 9.367895 
