#      date    value 
 1979-01-01 21.00612 
 1979-01-02  20.0307 
 1979-01-03 21.95461 
 1979-01-04 17.45403 
 1979-01-05 18.32397 
 1979-01-06 19.49223 
 1979-01-07 22.67008 
 1979-01-08  22.5501 
 1979-01-09 22.00108 
 1979-01-10 20.35398 
 1979-01-11 19.92436 
 1979-01-12 17.60383 
 1979-01-13 24.95843 
 1979-01-14 22.62474 
 1979-01-15 21.81388 
 1979-01-16 21.78167 
 1979-01-17 22.72226 
 1979-01-18 21.21741 
 1979-01-19 22.11057 
 1979-01-20 22.06826 
 1979-01-21 20.49334 
 1979-01-22 22.27267 
 1979-01-23 21.51144 
 1979-01-24 21.06533 
 1979-01-25 26.71722 
 1979-01-26 22.61676 
 1979-01-27 19.81415 
 1979-01-28  20.1967 
 1979-01-29 23.37235 
 1979-01-30 27.97824 
 1979-01-31 19.46808 
 1979-02-01 22.97339 
 1979-02-02 20.60625 
 1979-02-03 20.09671 
 1979-02-04 21.04658 
 1979-02-05 21.99815 
 1979-02-06 23.82144 
 1979-02-07 21.83173 
 1979-02-08 21.81295 
 1979-02-09 21.31045 
 1979-02-10 22.72804 
 1979-02-11 21.61371 
 1979-02-12 20.91459 
 1979-02-13 21.05553 
 1979-02-14 22.80829 
 1979-02-15 21.99469 
 1979-02-16 19.50821 
 1979-02-17 16.57488 
 1979-02-18 18.49134 
 1979-02-19  16.8261 
 1979-02-20 18.54231 
 1979-02-21  17.8589 
 1979-02-22 19.47218 
 1979-02-23 18.36641 
 1979-02-24 18.38573 
 1979-02-25 17.52818 
 1979-02-26 19.03688 
 1979-02-27 18.30921 
 1979-02-28 20.79983 
 1979-03-01 17.21791 
 1979-03-02 17.33074 
 1979-03-03 18.39775 
 1979-03-04 21.27979 
 1979-03-05   18.455 
 1979-03-06 18.50322 
 1979-03-07 20.19707 
 1979-03-08 22.11162 
 1979-03-09 25.68093 
 1979-03-10 26.35861 
 1979-03-11 25.92291 
 1979-03-12  26.1669 
 1979-03-13 24.91417 
 1979-03-14 26.20781 
 1979-03-15 25.83645 
 1979-03-16 27.48986 
 1979-03-17 28.32579 
 1979-03-18 27.14846 
 1979-03-19  29.1989 
 1979-03-20 28.21315 
 1979-03-21 28.56464 
 1979-03-22 24.81088 
 1979-03-23 25.75174 
 1979-03-24 26.44518 
 1979-03-25 25.23388 
 1979-03-26 24.61798 
 1979-03-27 25.43845 
 1979-03-28 28.03366 
 1979-03-29 26.27886 
 1979-03-30 27.60824 
 1979-03-31  24.5366 
 1979-04-01 27.47744 
 1979-04-02 27.29893 
 1979-04-03 25.50455 
 1979-04-04 23.20339 
 1979-04-05  22.2308 
 1979-04-06 23.15519 
 1979-04-07 23.49049 
 1979-04-08 25.01437 
 1979-04-09 25.28131 
 1979-04-10 25.39649 
 1979-04-11 22.54164 
 1979-04-12 25.09492 
 1979-04-13 26.59886 
 1979-04-14 26.36195 
 1979-04-15 31.77528 
 1979-04-16 25.57836 
 1979-04-17 27.09109 
 1979-04-18 34.58984 
 1979-04-19 25.33706 
 1979-04-20 25.57832 
 1979-04-21 29.13255 
 1979-04-22 28.43681 
 1979-04-23 28.48281 
 1979-04-24 26.46436 
 1979-04-25 25.56852 
 1979-04-26 28.29971 
 1979-04-27 28.46212 
 1979-04-28  27.2235 
 1979-04-29  24.6573 
 1979-04-30 24.98573 
 1979-05-01 27.48524 
 1979-05-02 26.66319 
 1979-05-03 27.42762 
 1979-05-04 19.75941 
 1979-05-05 27.54542 
 1979-05-06  28.9299 
 1979-05-07   25.533 
 1979-05-08 27.36298 
 1979-05-09 26.44787 
 1979-05-10 22.89833 
 1979-05-11 22.69127 
 1979-05-12 22.34971 
 1979-05-13 25.37636 
 1979-05-14 25.37068 
 1979-05-15 26.55717 
 1979-05-16 24.39469 
 1979-05-17 20.75303 
 1979-05-18 30.27787 
 1979-05-19 27.43391 
 1979-05-20 24.34238 
 1979-05-21 27.37101 
 1979-05-22 25.90038 
 1979-05-23 22.77623 
 1979-05-24 25.95078 
 1979-05-25 21.78908 
 1979-05-26 24.69623 
 1979-05-27 21.78738 
 1979-05-28 21.29338 
 1979-05-29 25.77839 
 1979-05-30 24.46686 
 1979-05-31 23.71289 
 1979-06-01 25.84853 
