#      date    value 
 1979-01-01 24.45836 
 1979-01-02 21.34016 
 1979-01-03 20.50296 
 1979-01-04 22.63744 
 1979-01-05  21.8813 
 1979-01-06 21.64745 
 1979-01-07  24.7184 
 1979-01-08 23.94508 
 1979-01-09 22.42582 
 1979-01-10  23.3451 
 1979-01-11 22.99387 
 1979-01-12 23.87091 
 1979-01-13 22.16476 
 1979-01-14 25.77187 
 1979-01-15 24.42181 
 1979-01-16 24.97572 
 1979-01-17 23.41305 
 1979-01-18 27.69281 
 1979-01-19 22.55871 
 1979-01-20 21.12862 
 1979-01-21 22.68612 
 1979-01-22 24.07066 
 1979-01-23 20.60478 
 1979-01-24 25.47224 
 1979-01-25 23.69343 
 1979-01-26 12.31754 
 1979-01-27 24.31455 
 1979-01-28 22.70567 
 1979-01-29 23.78681 
 1979-01-30 23.23944 
 1979-01-31  23.3115 
 1979-02-01 24.60415 
 1979-02-02 23.39785 
 1979-02-03 24.37488 
 1979-02-04 22.16983 
 1979-02-05 22.69134 
 1979-02-06 28.30072 
 1979-02-07 23.75014 
 1979-02-08 24.51615 
 1979-02-09 24.04183 
 1979-02-10 26.46845 
 1979-02-11  24.5121 
 1979-02-12 23.28628 
 1979-02-13 22.76264 
 1979-02-14 23.33725 
 1979-02-15 22.37036 
 1979-02-16 23.48374 
 1979-02-17 20.74407 
 1979-02-18 24.73913 
 1979-02-19 19.80242 
 1979-02-20 21.07077 
 1979-02-21 24.23001 
 1979-02-22 21.63289 
 1979-02-23 21.67681 
 1979-02-24 22.06684 
 1979-02-25 21.96465 
 1979-02-26 22.77587 
 1979-02-27 25.10389 
 1979-02-28  32.2067 
 1979-03-01 19.77444 
 1979-03-02 22.96898 
 1979-03-03 26.49769 
 1979-03-04 23.96347 
 1979-03-05 24.61616 
 1979-03-06 25.12429 
 1979-03-07  30.5056 
 1979-03-08 23.96463 
 1979-03-09 25.18361 
 1979-03-10 25.62859 
 1979-03-11 23.83147 
 1979-03-12 25.10408 
 1979-03-13 26.75522 
 1979-03-14 23.76526 
 1979-03-15 24.57576 
 1979-03-16 26.80549 
 1979-03-17  26.4765 
 1979-03-18 25.71964 
 1979-03-19 31.85347 
 1979-03-20 26.36789 
 1979-03-21 27.82103 
 1979-03-22 26.46472 
 1979-03-23 25.87018 
 1979-03-24 25.41295 
 1979-03-25 24.47288 
 1979-03-26 23.44179 
 1979-03-27 24.92112 
 1979-03-28 24.46386 
 1979-03-29 23.47462 
 1979-03-30 26.91448 
 1979-03-31  23.8314 
 1979-04-01 25.87933 
 1979-04-02 24.70275 
 1979-04-03 24.95262 
 1979-04-04 27.64886 
 1979-04-05 25.39442 
 1979-04-06 22.92668 
 1979-04-07 26.61469 
 1979-04-08 23.32072 
 1979-04-09 29.79108 
 1979-04-10  24.6198 
 1979-04-11 30.83954 
 1979-04-12 24.28067 
 1979-04-13 21.75614 
 1979-04-14 27.46408 
 1979-04-15 28.57844 
 1979-04-16  25.5124 
 1979-04-17  24.6617 
 1979-04-18 27.50726 
 1979-04-19 24.52085 
 1979-04-20 24.81178 
 1979-04-21 26.89405 
 1979-04-22 25.32048 
 1979-04-23 25.33915 
 1979-04-24 25.70299 
 1979-04-25 26.85477 
 1979-04-26 31.20938 
 1979-04-27 25.88605 
 1979-04-28 24.66299 
 1979-04-29 26.62396 
 1979-04-30 26.50298 
 1979-05-01  25.4701 
 1979-05-02 22.01629 
 1979-05-03 23.55334 
 1979-05-04 24.61297 
 1979-05-05 25.68452 
 1979-05-06 25.48015 
 1979-05-07 28.05236 
 1979-05-08 24.50214 
 1979-05-09 21.88034 
 1979-05-10  24.7787 
 1979-05-11 22.78606 
 1979-05-12 25.11304 
 1979-05-13 24.62528 
 1979-05-14 26.56053 
 1979-05-15 27.11413 
 1979-05-16 26.69726 
 1979-05-17  24.4948 
 1979-05-18 24.23384 
 1979-05-19   27.112 
 1979-05-20 27.45029 
 1979-05-21 24.71893 
 1979-05-22 27.37046 
 1979-05-23 24.77834 
 1979-05-24 26.24243 
 1979-05-25 25.97167 
 1979-05-26 24.51041 
 1979-05-27  23.0648 
 1979-05-28 27.02482 
 1979-05-29 26.52686 
 1979-05-30 23.03881 
 1979-05-31  26.1184 
 1979-06-01 26.35793 
 1979-06-02 21.60592 
 1979-06-03 22.36243 
 1979-06-04 11.88434 
 1979-06-05 23.77762 
 1979-06-06 22.99536 
 1979-06-07 23.31412 
 1979-06-08 24.08607 
 1979-06-09 20.90571 
 1979-06-10 24.38937 
 1979-06-11 20.16117 
 1979-06-12 21.23839 
 1979-06-13 24.72966 
 1979-06-14 24.52251 
 1979-06-15 25.30733 
 1979-06-16 20.55233 
 1979-06-17 22.57255 
 1979-06-18 25.63336 
 1979-06-19 20.86139 
 1979-06-20 26.65959 
 1979-06-21 22.45252 
 1979-06-22 24.00705 
 1979-06-23 24.33663 
 1979-06-24 20.82401 
 1979-06-25 26.11262 
 1979-06-26 22.84526 
 1979-06-27 22.25851 
 1979-06-28 24.86637 
 1979-06-29  24.0345 
 1979-06-30 24.33242 
 1979-07-01 23.82761 
 1979-07-02 24.47198 
 1979-07-03 28.37092 
 1979-07-04  26.2177 
 1979-07-05 24.52853 
 1979-07-06 25.10685 
 1979-07-07 23.70309 
 1979-07-08 24.87234 
 1979-07-09 25.86454 
 1979-07-10 25.25841 
 1979-07-11 21.49291 
 1979-07-12 23.59403 
 1979-07-13 22.29211 
 1979-07-14 23.86625 
 1979-07-15 22.12559 
 1979-07-16 22.05512 
 1979-07-17 23.96444 
 1979-07-18 24.15115 
 1979-07-19 23.62613 
 1979-07-20 23.21699 
 1979-07-21  23.2811 
 1979-07-22  23.9587 
 1979-07-23 24.27358 
 1979-07-24 22.35173 
 1979-07-25 22.62664 
 1979-07-26 21.63463 
 1979-07-27 25.27674 
 1979-07-28 24.76858 
 1979-07-29 20.49599 
 1979-07-30  25.5698 
 1979-07-31 22.28136 
 1979-08-01 16.51864 
 1979-08-02 24.12488 
 1979-08-03 20.63295 
 1979-08-04 19.81525 
 1979-08-05 20.08242 
 1979-08-06  27.9586 
 1979-08-07 24.52568 
 1979-08-08 24.33795 
 1979-08-09 25.30182 
 1979-08-10 24.01839 
 1979-08-11 20.59099 
 1979-08-12 21.73895 
 1979-08-13 22.66842 
 1979-08-14 15.83382 
 1979-08-15 25.33646 
 1979-08-16 22.56203 
 1979-08-17 24.30173 
 1979-08-18 24.28965 
 1979-08-19 14.49198 
 1979-08-20 22.62756 
 1979-08-21 23.29903 
 1979-08-22 23.52384 
 1979-08-23  19.3029 
 1979-08-24 22.29262 
 1979-08-25 26.87568 
 1979-08-26 20.61291 
 1979-08-27 22.51912 
 1979-08-28 24.75418 
 1979-08-29 24.30326 
 1979-08-30 25.24734 
 1979-08-31 23.91125 
 1979-09-01 24.46464 
 1979-09-02 24.43846 
 1979-09-03  23.3235 
 1979-09-04 23.33348 
 1979-09-05 21.76599 
 1979-09-06 23.73643 
 1979-09-07 24.45844 
 1979-09-08 24.28326 
 1979-09-09 26.24529 
 1979-09-10 24.25736 
 1979-09-11 25.56853 
 1979-09-12 24.43161 
 1979-09-13 24.28465 
 1979-09-14 22.28434 
 1979-09-15 25.28547 
 1979-09-16 23.11427 
 1979-09-17 23.32362 
 1979-09-18 24.09562 
 1979-09-19 24.03693 
 1979-09-20 26.86793 
 1979-09-21 22.91212 
 1979-09-22 21.26672 
 1979-09-23 23.39787 
 1979-09-24 25.23693 
 1979-09-25  23.1277 
 1979-09-26 23.14534 
 1979-09-27   22.565 
 1979-09-28 25.69918 
 1979-09-29 23.83547 
 1979-09-30 24.43768 
 1979-10-01 24.20853 
 1979-10-02 22.06677 
 1979-10-03 24.11376 
 1979-10-04 24.37427 
 1979-10-05 25.37949 
 1979-10-06 22.29527 
 1979-10-07 24.69128 
 1979-10-08 23.57751 
 1979-10-09 24.62666 
 1979-10-10 23.54793 
 1979-10-11 25.22063 
 1979-10-12 23.29584 
 1979-10-13 21.12685 
 1979-10-14 23.69699 
 1979-10-15 22.54666 
 1979-10-16 25.09165 
 1979-10-17 23.98018 
 1979-10-18 23.71424 
 1979-10-19 22.10854 
 1979-10-20   21.464 
 1979-10-21 24.12346 
 1979-10-22 23.02519 
 1979-10-23 23.54536 
 1979-10-24 21.00133 
 1979-10-25 21.16135 
 1979-10-26 14.99318 
 1979-10-27 27.24652 
 1979-10-28 24.16111 
 1979-10-29 24.38963 
 1979-10-30 24.37465 
 1979-10-31 22.02656 
 1979-11-01 22.25736 
 1979-11-02 26.21634 
 1979-11-03 26.85734 
 1979-11-04 24.54655 
 1979-11-05 27.21611 
 1979-11-06 29.93322 
 1979-11-07 20.26083 
 1979-11-08 25.25307 
 1979-11-09 23.16017 
 1979-11-10 24.39736 
 1979-11-11  27.0676 
 1979-11-12 28.50682 
 1979-11-13 24.29922 
 1979-11-14 22.77349 
 1979-11-15 23.43796 
 1979-11-16 25.59212 
 1979-11-17 29.27042 
 1979-11-18 22.35691 
 1979-11-19 24.02743 
 1979-11-20 21.66623 
 1979-11-21 27.53316 
 1979-11-22 26.25184 
 1979-11-23 23.65681 
 1979-11-24 24.44795 
 1979-11-25 21.99512 
 1979-11-26 25.79836 
 1979-11-27 27.17292 
 1979-11-28 25.29678 
 1979-11-29 23.67703 
 1979-11-30 20.91796 
 1979-12-01 25.08315 
 1979-12-02 20.91451 
 1979-12-03 25.16036 
 1979-12-04  26.1076 
 1979-12-05 29.29103 
 1979-12-06 23.08698 
 1979-12-07 22.78442 
 1979-12-08  24.5424 
 1979-12-09 23.55219 
 1979-12-10 24.02983 
 1979-12-11 24.11237 
 1979-12-12 23.12618 
 1979-12-13 21.71437 
 1979-12-14 22.82886 
 1979-12-15 24.17603 
 1979-12-16 23.72208 
 1979-12-17  23.2549 
 1979-12-18 23.47117 
 1979-12-19 23.72646 
 1979-12-20 25.17274 
 1979-12-21 24.08321 
 1979-12-22 22.37526 
 1979-12-23 24.26549 
 1979-12-24 23.33686 
 1979-12-25 25.35091 
 1979-12-26 20.35029 
 1979-12-27 17.87101 
 1979-12-28 23.35386 
 1979-12-29 24.32599 
 1979-12-30 21.12031 
 1979-12-31 23.35523 
 1980-01-01 23.58959 
 1980-01-02 23.16751 
 1980-01-03 24.30949 
 1980-01-04 21.99762 
 1980-01-05 24.58529 
 1980-01-06 23.30577 
 1980-01-07 23.30816 
 1980-01-08 23.48837 
 1980-01-09 24.03453 
 1980-01-10 24.25888 
 1980-01-11 22.29739 
 1980-01-12 23.19339 
 1980-01-13 24.86706 
 1980-01-14 22.44321 
 1980-01-15 21.70186 
 1980-01-16 25.02819 
 1980-01-17 21.81703 
 1980-01-18 24.61604 
 1980-01-19 23.57646 
 1980-01-20 23.62985 
 1980-01-21 23.57514 
 1980-01-22 24.13946 
 1980-01-23 23.78536 
 1980-01-24 25.36592 
 1980-01-25 23.55868 
 1980-01-26 22.37547 
 1980-01-27 23.25659 
 1980-01-28 21.63296 
 1980-01-29 23.91972 
 1980-01-30 24.34959 
 1980-01-31 28.46619 
 1980-02-01 23.40504 
 1980-02-02  23.4607 
 1980-02-03 22.45884 
 1980-02-04 26.41516 
 1980-02-05 23.40701 
 1980-02-06 25.38532 
 1980-02-07 21.40777 
 1980-02-08 27.01418 
 1980-02-09 25.01782 
 1980-02-10 25.56423 
 1980-02-11 23.13586 
 1980-02-12 23.97667 
 1980-02-13 20.64352 
 1980-02-14 24.91929 
 1980-02-15 23.47735 
 1980-02-16 25.04201 
 1980-02-17  26.6541 
 1980-02-18 22.42286 
 1980-02-19 24.87882 
 1980-02-20 23.68686 
 1980-02-21 22.32077 
 1980-02-22 23.67419 
 1980-02-23 24.42449 
 1980-02-24 20.46499 
 1980-02-25 25.40071 
 1980-02-26 27.06437 
 1980-02-27  25.0671 
 1980-02-28 24.66129 
 1980-02-29 23.37208 
 1980-03-01 24.44583 
 1980-03-02 26.47167 
 1980-03-03 25.92114 
 1980-03-04 21.64015 
 1980-03-05 23.28838 
 1980-03-06 26.28056 
 1980-03-07 22.14076 
 1980-03-08 24.46688 
