#      date    value 
 1979-01-01 23.34257 
 1979-01-02 23.03338 
 1979-01-03 23.94843 
 1979-01-04 18.54095 
 1979-01-05  20.5697 
 1979-01-06 22.04605 
 1979-01-07 23.52228 
 1979-01-08 24.32364 
 1979-01-09 27.25383 
 1979-01-10 25.89879 
 1979-01-11 24.85872 
 1979-01-12 25.30158 
 1979-01-13 23.76799 
 1979-01-14 26.69824 
 1979-01-15 24.53291 
 1979-01-16 25.80285 
 1979-01-17 24.19659 
 1979-01-18 24.32946 
 1979-01-19 25.26517 
 1979-01-20 24.01665 
 1979-01-21 23.13384 
 1979-01-22 24.20519 
 1979-01-23 24.77998 
 1979-01-24 23.25637 
 1979-01-25 25.43863 
 1979-01-26 24.19253 
 1979-01-27  24.8538 
 1979-01-28 24.71533 
 1979-01-29 25.47674 
 1979-01-30 25.61506 
 1979-01-31 25.21998 
 1979-02-01 25.41265 
 1979-02-02  26.1482 
 1979-02-03 25.30622 
 1979-02-04 25.13317 
 1979-02-05 23.48488 
 1979-02-06 24.93973 
 1979-02-07 24.72148 
 1979-02-08 17.63519 
 1979-02-09 24.36915 
 1979-02-10 24.62815 
 1979-02-11 25.51679 
 1979-02-12 25.04013 
 1979-02-13 25.51546 
 1979-02-14 25.24455 
 1979-02-15 25.52961 
 1979-02-16 25.41275 
 1979-02-17 25.68681 
 1979-02-18 24.79318 
 1979-02-19 23.25185 
 1979-02-20 24.48888 
 1979-02-21  24.9635 
 1979-02-22 25.05753 
 1979-02-23 25.53374 
 1979-02-24 25.05251 
 1979-02-25 25.56977 
 1979-02-26 24.57441 
 1979-02-27 27.32829 
 1979-02-28 26.83975 
 1979-03-01 25.55989 
 1979-03-02 25.81226 
 1979-03-03 25.04935 
 1979-03-04 25.76429 
 1979-03-05 25.00071 
 1979-03-06 24.35209 
 1979-03-07 25.01112 
 1979-03-08 23.96969 
 1979-03-09 25.55928 
 1979-03-10 25.12417 
 1979-03-11 26.39721 
 1979-03-12 26.11173 
 1979-03-13 25.97514 
 1979-03-14 26.10043 
 1979-03-15 26.34693 
 1979-03-16 25.98865 
 1979-03-17 23.13675 
 1979-03-18 26.01805 
 1979-03-19 26.41487 
 1979-03-20 26.57214 
 1979-03-21 25.60785 
 1979-03-22 22.02882 
 1979-03-23 25.33078 
 1979-03-24   25.667 
 1979-03-25 22.43691 
 1979-03-26 24.25291 
 1979-03-27 23.96121 
 1979-03-28 26.19959 
 1979-03-29 26.77384 
 1979-03-30 26.19932 
 1979-03-31 26.30166 
 1979-04-01 22.43652 
 1979-04-02 25.37007 
 1979-04-03 23.30195 
 1979-04-04 23.14094 
 1979-04-05 25.80179 
 1979-04-06 25.92727 
 1979-04-07 25.54782 
 1979-04-08 26.71041 
 1979-04-09  24.9959 
 1979-04-10 24.59663 
 1979-04-11 26.03862 
 1979-04-12 26.02574 
 1979-04-13 26.26473 
 1979-04-14 26.41074 
 1979-04-15 26.87027 
 1979-04-16 23.03659 
 1979-04-17 26.89449 
 1979-04-18 24.23792 
 1979-04-19 23.08552 
 1979-04-20 26.82619 
 1979-04-21 22.90351 
 1979-04-22  25.6414 
 1979-04-23 22.74179 
 1979-04-24 25.10309 
 1979-04-25 26.93184 
 1979-04-26  25.8313 
 1979-04-27 23.71554 
 1979-04-28 24.78578 
 1979-04-29 25.05341 
 1979-04-30 25.47637 
 1979-05-01  23.8221 
 1979-05-02 23.40877 
 1979-05-03  26.1954 
 1979-05-04 24.86267 
 1979-05-05 24.87525 
 1979-05-06 21.24708 
 1979-05-07 24.45464 
 1979-05-08  23.3129 
 1979-05-09 22.57086 
 1979-05-10 -7.353913 
 1979-05-11 24.85433 
 1979-05-12 24.03086 
 1979-05-13 25.22202 
