#      date    value 
 1979-01-01 23.66054 
 1979-01-02 24.45483 
 1979-01-03 23.16825 
 1979-01-04 23.32993 
 1979-01-05 22.93787 
 1979-01-06 22.53318 
 1979-01-07 24.69449 
 1979-01-08 24.96579 
 1979-01-09 26.03533 
 1979-01-10 26.01973 
 1979-01-11 25.39153 
 1979-01-12 25.60003 
 1979-01-13 22.19207 
 1979-01-14  25.3376 
 1979-01-15 24.37219 
 1979-01-16 23.87456 
 1979-01-17 24.38879 
 1979-01-18 24.59546 
 1979-01-19 26.03609 
 1979-01-20 24.47054 
 1979-01-21 24.80381 
 1979-01-22 25.70226 
 1979-01-23 25.41105 
 1979-01-24 24.83518 
 1979-01-25 24.83105 
 1979-01-26 24.55922 
 1979-01-27 25.51994 
 1979-01-28 25.61259 
 1979-01-29 25.14687 
 1979-01-30 25.29772 
 1979-01-31 24.78117 
 1979-02-01 24.73848 
 1979-02-02 25.56746 
 1979-02-03 24.54309 
 1979-02-04 24.92107 
 1979-02-05 24.16755 
 1979-02-06 24.40809 
 1979-02-07 25.37579 
 1979-02-08 25.54615 
 1979-02-09  25.6163 
 1979-02-10 25.74383 
 1979-02-11 25.56607 
 1979-02-12 25.48747 
 1979-02-13 26.35133 
 1979-02-14 24.74004 
 1979-02-15 22.65393 
 1979-02-16 25.39633 
 1979-02-17 25.65757 
 1979-02-18  24.5789 
 1979-02-19 23.02852 
 1979-02-20 25.44386 
 1979-02-21  25.6271 
 1979-02-22 25.62926 
 1979-02-23 25.64914 
 1979-02-24 24.92629 
 1979-02-25 24.75612 
 1979-02-26 24.90071 
 1979-02-27 26.89615 
 1979-02-28 26.73076 
 1979-03-01 25.36419 
 1979-03-02 25.62431 
 1979-03-03 24.95315 
 1979-03-04 24.06723 
 1979-03-05  23.7352 
 1979-03-06 24.25898 
 1979-03-07 25.17311 
 1979-03-08 23.07174 
 1979-03-09 24.97821 
 1979-03-10 24.85708 
 1979-03-11 26.07556 
 1979-03-12 26.01166 
 1979-03-13 24.75342 
 1979-03-14 25.69211 
 1979-03-15 26.55124 
 1979-03-16 25.75007 
 1979-03-17 22.23813 
 1979-03-18 25.84607 
 1979-03-19 26.27489 
 1979-03-20 26.57579 
 1979-03-21 23.89621 
 1979-03-22 22.12333 
 1979-03-23 24.77318 
 1979-03-24 26.19088 
 1979-03-25 23.01264 
 1979-03-26 22.91929 
 1979-03-27 24.53485 
 1979-03-28 26.81995 
 1979-03-29 26.38345 
 1979-03-30 24.84074 
 1979-03-31 26.35691 
 1979-04-01 25.38826 
 1979-04-02 25.21737 
 1979-04-03 22.12268 
 1979-04-04 24.60665 
 1979-04-05 26.77051 
 1979-04-06 26.22105 
 1979-04-07 25.52779 
 1979-04-08 26.52252 
 1979-04-09  26.3457 
 1979-04-10 24.24251 
 1979-04-11 25.87739 
 1979-04-12 26.43991 
 1979-04-13  26.5945 
 1979-04-14 26.05061 
 1979-04-15 27.84583 
 1979-04-16 22.69947 
 1979-04-17 26.01967 
 1979-04-18 25.38458 
 1979-04-19 25.99656 
 1979-04-20 26.74375 
 1979-04-21 24.71393 
 1979-04-22 24.95463 
 1979-04-23 22.68361 
 1979-04-24 25.42356 
 1979-04-25 26.44739 
 1979-04-26 25.78783 
 1979-04-27 24.14372 
 1979-04-28 24.03638 
 1979-04-29 25.44577 
 1979-04-30 25.71495 
 1979-05-01 24.02237 
 1979-05-02 23.88551 
 1979-05-03 25.77184 
 1979-05-04  24.8346 
 1979-05-05 25.12041 
 1979-05-06 22.45472 
 1979-05-07 23.95913 
 1979-05-08 23.42918 
 1979-05-09 21.97155 
 1979-05-10  23.6885 
 1979-05-11 24.16632 
 1979-05-12 24.46767 
 1979-05-13 24.91013 
 1979-05-14 23.70297 
 1979-05-15 24.05075 
 1979-05-16 22.77706 
 1979-05-17 23.18073 
 1979-05-18 23.96867 
 1979-05-19 22.89554 
 1979-05-20 24.35617 
 1979-05-21 23.91812 
 1979-05-22 22.44454 
 1979-05-23 23.59072 
 1979-05-24 24.73867 
 1979-05-25 25.20765 
 1979-05-26 22.97067 
 1979-05-27  24.8128 
 1979-05-28 24.69349 
 1979-05-29 23.96799 
 1979-05-30 22.10205 
 1979-05-31 22.76136 
 1979-06-01 22.19765 
 1979-06-02  23.7513 
 1979-06-03  23.9884 
 1979-06-04 24.19754 
 1979-06-05  24.7462 
 1979-06-06 24.16023 
 1979-06-07 23.04601 
 1979-06-08 24.91344 
 1979-06-09 25.37536 
 1979-06-10 22.12187 
 1979-06-11 24.40845 
 1979-06-12 22.23511 
 1979-06-13 22.98115 
 1979-06-14 23.21311 
 1979-06-15 22.79273 
 1979-06-16 21.85059 
 1979-06-17 24.11556 
 1979-06-18 25.24785 
 1979-06-19 23.40221 
 1979-06-20 22.18603 
 1979-06-21 22.21749 
 1979-06-22 23.42108 
 1979-06-23 23.18815 
 1979-06-24 24.58815 
 1979-06-25 23.73829 
 1979-06-26 24.13975 
 1979-06-27 23.91034 
 1979-06-28 21.31809 
 1979-06-29 23.40746 
 1979-06-30 24.10549 
 1979-07-01 21.53348 
 1979-07-02 22.98542 
 1979-07-03 24.26889 
 1979-07-04 24.21464 
 1979-07-05  24.8563 
 1979-07-06  24.1856 
 1979-07-07 24.53815 
 1979-07-08 22.00213 
 1979-07-09 20.94562 
 1979-07-10  21.8367 
 1979-07-11 23.93496 
 1979-07-12 22.05348 
 1979-07-13 22.28399 
 1979-07-14 23.96964 
 1979-07-15 23.81083 
 1979-07-16 22.98254 
 1979-07-17 23.05375 
 1979-07-18 22.84497 
 1979-07-19 23.85148 
 1979-07-20 22.83787 
 1979-07-21 23.10869 
 1979-07-22 23.08724 
 1979-07-23  23.6106 
 1979-07-24 23.67857 
 1979-07-25 23.06641 
 1979-07-26 22.76146 
 1979-07-27 23.87916 
 1979-07-28 23.24452 
 1979-07-29 22.90643 
 1979-07-30 23.36852 
 1979-07-31 21.35915 
 1979-08-01 23.75871 
 1979-08-02  23.0535 
 1979-08-03 23.07345 
 1979-08-04 23.65844 
 1979-08-05 23.77372 
 1979-08-06 24.63587 
 1979-08-07 22.89294 
 1979-08-08 23.71968 
 1979-08-09  23.9439 
 1979-08-10 23.53183 
 1979-08-11 21.27101 
 1979-08-12  24.9688 
 1979-08-13 23.77747 
 1979-08-14 22.85463 
 1979-08-15 23.83308 
 1979-08-16 23.68995 
 1979-08-17 23.78561 
 1979-08-18 23.94844 
 1979-08-19 22.48252 
 1979-08-20 23.18662 
 1979-08-21 23.93893 
 1979-08-22 22.75823 
 1979-08-23  23.0085 
 1979-08-24 22.90592 
 1979-08-25 21.33132 
 1979-08-26 26.89785 
 1979-08-27 24.62613 
 1979-08-28 20.50498 
 1979-08-29 23.06698 
 1979-08-30 23.76652 
 1979-08-31 22.87214 
 1979-09-01  22.8564 
 1979-09-02 21.53236 
 1979-09-03 22.27974 
 1979-09-04 23.71105 
 1979-09-05 23.01601 
 1979-09-06 22.90924 
 1979-09-07  23.7431 
