#      date    value 
 1979-01-01 18.39808 
 1979-01-02 17.89502 
 1979-01-03 18.18569 
 1979-01-04  15.7796 
 1979-01-05 12.41784 
 1979-01-06 15.89848 
 1979-01-07 18.09828 
 1979-01-08 17.03385 
 1979-01-09 17.83263 
 1979-01-10 9.754666 
 1979-01-11 17.92523 
 1979-01-12 17.21563 
 1979-01-13 18.04187 
 1979-01-14  22.6199 
 1979-01-15 19.74422 
 1979-01-16 20.50193 
 1979-01-17 21.27659 
 1979-01-18 18.96712 
 1979-01-19 20.87444 
 1979-01-20 20.53994 
 1979-01-21 18.03883 
 1979-01-22 19.80207 
 1979-01-23  19.7198 
 1979-01-24 18.09892 
 1979-01-25 18.64062 
 1979-01-26 14.33467 
 1979-01-27 13.69928 
 1979-01-28 18.84126 
 1979-01-29 17.24888 
 1979-01-30 18.80725 
 1979-01-31 16.36891 
 1979-02-01 16.54652 
 1979-02-02 17.17005 
 1979-02-03 15.41915 
 1979-02-04 15.75438 
 1979-02-05 17.86578 
 1979-02-06 16.94751 
 1979-02-07 17.24393 
 1979-02-08 17.70398 
 1979-02-09 18.94506 
 1979-02-10 16.50595 
 1979-02-11  16.3924 
 1979-02-12 16.48345 
 1979-02-13 19.65049 
 1979-02-14 19.90925 
 1979-02-15 18.33557 
 1979-02-16 18.41408 
 1979-02-17 16.98734 
 1979-02-18 16.21654 
 1979-02-19 14.49229 
 1979-02-20 15.17797 
 1979-02-21 15.42616 
 1979-02-22 17.92925 
 1979-02-23  15.0919 
 1979-02-24 19.86577 
 1979-02-25 16.71247 
 1979-02-26 15.04599 
 1979-02-27 14.41224 
 1979-02-28 17.06813 
 1979-03-01 15.11156 
 1979-03-02 14.93568 
 1979-03-03 18.85112 
 1979-03-04 20.32174 
 1979-03-05 18.87661 
 1979-03-06 18.03872 
 1979-03-07 19.77558 
 1979-03-08 20.74596 
 1979-03-09 23.22284 
 1979-03-10 21.40306 
 1979-03-11 24.20235 
 1979-03-12 25.08184 
 1979-03-13 25.50775 
 1979-03-14 25.40582 
 1979-03-15 26.01301 
 1979-03-16 25.38966 
 1979-03-17 26.61902 
 1979-03-18  26.3319 
 1979-03-19   29.576 
 1979-03-20 29.49866 
 1979-03-21 30.10671 
 1979-03-22 25.36653 
 1979-03-23 27.99406 
 1979-03-24 25.52575 
 1979-03-25 28.47211 
 1979-03-26 23.48365 
 1979-03-27 25.11373 
 1979-03-28 26.91596 
 1979-03-29 26.28625 
 1979-03-30 25.93145 
 1979-03-31  29.8918 
 1979-04-01 26.83341 
 1979-04-02 25.87937 
 1979-04-03  23.0046 
 1979-04-04 21.83073 
 1979-04-05 22.65236 
 1979-04-06 23.08218 
 1979-04-07 20.46107 
 1979-04-08 20.14658 
 1979-04-09   17.948 
 1979-04-10 23.55884 
 1979-04-11 25.54658 
 1979-04-12 23.53939 
 1979-04-13 20.68541 
 1979-04-14 21.62782 
 1979-04-15 27.21354 
 1979-04-16  26.1744 
 1979-04-17 25.91228 
 1979-04-18 28.06155 
 1979-04-19 28.08078 
 1979-04-20 29.43316 
 1979-04-21 30.43262 
 1979-04-22 29.47667 
 1979-04-23 30.15098 
 1979-04-24 26.76228 
 1979-04-25 28.95843 
 1979-04-26 27.40704 
 1979-04-27  25.6034 
 1979-04-28 26.49043 
 1979-04-29 26.30412 
 1979-04-30  29.5589 
 1979-05-01  22.5663 
 1979-05-02 22.32761 
 1979-05-03 23.57149 
 1979-05-04 27.88781 
 1979-05-05 27.17162 
 1979-05-06 24.98533 
 1979-05-07 26.73314 
 1979-05-08 27.79484 
 1979-05-09  23.0691 
 1979-05-10 26.61283 
 1979-05-11 27.10361 
 1979-05-12 27.53923 
 1979-05-13 28.76538 
 1979-05-14 29.51197 
 1979-05-15 26.17864 
 1979-05-16 25.11621 
 1979-05-17 27.03346 
 1979-05-18 26.80171 
 1979-05-19 27.89992 
 1979-05-20 29.83422 
 1979-05-21 29.69619 
 1979-05-22  30.8599 
 1979-05-23 27.98178 
 1979-05-24 26.33897 
 1979-05-25 28.50048 
 1979-05-26 28.56004 
 1979-05-27 25.02884 
 1979-05-28 31.51942 
 1979-05-29 29.20332 
 1979-05-30 27.80875 
 1979-05-31 26.91233 
 1979-06-01 25.97886 
 1979-06-02 28.87859 
 1979-06-03 24.40331 
 1979-06-04 23.22916 
 1979-06-05 26.39816 
 1979-06-06  22.2386 
 1979-06-07 25.01176 
 1979-06-08 25.51041 
 1979-06-09 25.67413 
 1979-06-10  25.8709 
 1979-06-11 25.33106 
 1979-06-12 25.20555 
 1979-06-13 22.89727 
 1979-06-14 23.35669 
 1979-06-15 24.47759 
 1979-06-16 23.31105 
 1979-06-17   24.479 
 1979-06-18 26.53859 
 1979-06-19 21.29171 
 1979-06-20 26.01497 
 1979-06-21 23.70582 
 1979-06-22  26.0548 
 1979-06-23 23.81456 
 1979-06-24 26.01986 
 1979-06-25 24.33543 
 1979-06-26 23.19248 
 1979-06-27 26.18577 
 1979-06-28 26.13141 
 1979-06-29 23.21066 
 1979-06-30 27.50309 
 1979-07-01 24.80772 
 1979-07-02 23.64735 
 1979-07-03 27.02379 
 1979-07-04 26.86059 
 1979-07-05  25.7257 
 1979-07-06  25.8622 
 1979-07-07 22.41618 
 1979-07-08 24.09699 
 1979-07-09 25.04126 
 1979-07-10 24.08982 
 1979-07-11 25.07595 
 1979-07-12 23.64383 
 1979-07-13  25.2271 
 1979-07-14 23.98141 
 1979-07-15 24.39777 
 1979-07-16 25.89711 
 1979-07-17  21.8056 
 1979-07-18  24.9468 
 1979-07-19 22.27496 
 1979-07-20  23.2011 
 1979-07-21 25.63139 
 1979-07-22 22.01494 
 1979-07-23 25.04879 
 1979-07-24 21.82704 
 1979-07-25 24.22384 
 1979-07-26 24.90489 
 1979-07-27 24.89065 
 1979-07-28  23.4812 
 1979-07-29 22.48954 
 1979-07-30 23.86096 
 1979-07-31 25.92786 
 1979-08-01  21.9353 
 1979-08-02 23.95306 
 1979-08-03 24.73836 
 1979-08-04 24.24727 
 1979-08-05 23.42732 
 1979-08-06 24.85289 
 1979-08-07 24.80081 
 1979-08-08 23.53395 
 1979-08-09 24.86587 
 1979-08-10 23.84104 
 1979-08-11 22.40738 
 1979-08-12 27.20931 
 1979-08-13 21.24945 
 1979-08-14 24.17844 
 1979-08-15 21.21594 
 1979-08-16 23.88314 
 1979-08-17 24.06081 
 1979-08-18 23.88402 
 1979-08-19 22.91035 
 1979-08-20  24.8844 
 1979-08-21 23.92112 
 1979-08-22 22.27453 
 1979-08-23  21.2613 
 1979-08-24 23.80499 
 1979-08-25 23.89205 
 1979-08-26 23.80819 
 1979-08-27 24.02856 
 1979-08-28 22.68143 
 1979-08-29 22.66523 
 1979-08-30 22.14848 
 1979-08-31 22.00248 
 1979-09-01 24.16995 
 1979-09-02 23.86253 
 1979-09-03 22.11738 
 1979-09-04 23.61716 
 1979-09-05  23.0381 
 1979-09-06 21.30613 
 1979-09-07 22.60856 
 1979-09-08 22.42057 
 1979-09-09   20.659 
 1979-09-10 21.06712 
 1979-09-11 23.99957 
 1979-09-12 22.04625 
 1979-09-13 22.73244 
 1979-09-14 21.39095 
 1979-09-15 23.03524 
 1979-09-16 22.69192 
 1979-09-17 23.97489 
 1979-09-18 24.18849 
 1979-09-19 21.98183 
 1979-09-20 24.30537 
 1979-09-21 24.00143 
 1979-09-22 25.86303 
 1979-09-23 22.62423 
 1979-09-24 23.38205 
 1979-09-25  23.0782 
 1979-09-26 21.25887 
 1979-09-27 23.24307 
 1979-09-28 22.40386 
 1979-09-29 23.64826 
 1979-09-30  20.1032 
 1979-10-01 22.89945 
 1979-10-02 23.90018 
 1979-10-03 23.26028 
 1979-10-04 24.15247 
 1979-10-05 24.18415 
 1979-10-06 23.58743 
 1979-10-07 24.16762 
 1979-10-08 24.57669 
 1979-10-09 25.24091 
 1979-10-10 25.88909 
 1979-10-11 23.82702 
 1979-10-12 22.38022 
 1979-10-13 23.87856 
 1979-10-14 25.25036 
 1979-10-15 21.34097 
 1979-10-16  24.3147 
 1979-10-17 25.19639 
 1979-10-18 22.81045 
 1979-10-19 24.77856 
 1979-10-20 24.63951 
 1979-10-21  24.7802 
 1979-10-22 23.91459 
 1979-10-23 23.97361 
 1979-10-24 23.98468 
 1979-10-25 23.17504 
 1979-10-26  22.8231 
 1979-10-27 23.79742 
 1979-10-28 24.81622 
 1979-10-29 24.82261 
 1979-10-30 23.24673 
 1979-10-31 23.41283 
 1979-11-01 21.08897 
 1979-11-02 23.69078 
 1979-11-03 22.20965 
 1979-11-04 21.50249 
 1979-11-05 22.12298 
 1979-11-06 21.90194 
 1979-11-07 21.51894 
 1979-11-08 19.45431 
 1979-11-09 20.72221 
 1979-11-10 20.28285 
 1979-11-11 22.96198 
 1979-11-12 24.51676 
 1979-11-13 23.54119 
 1979-11-14 20.18884 
 1979-11-15  20.1103 
 1979-11-16 20.13195 
 1979-11-17 21.44408 
 1979-11-18 22.42059 
 1979-11-19 20.75792 
 1979-11-20 20.58519 
 1979-11-21 18.20753 
 1979-11-22 19.89721 
 1979-11-23 20.67935 
 1979-11-24 22.21201 
 1979-11-25 25.44684 
 1979-11-26 25.75236 
 1979-11-27 22.34157 
 1979-11-28 21.89179 
 1979-11-29 17.79369 
 1979-11-30 22.99965 
 1979-12-01 22.77692 
 1979-12-02 21.86187 
 1979-12-03 19.17139 
 1979-12-04  17.1609 
 1979-12-05 19.03985 
 1979-12-06 25.88894 
 1979-12-07  22.3029 
 1979-12-08  17.6904 
 1979-12-09 16.86659 
 1979-12-10 15.85788 
 1979-12-11 15.84658 
 1979-12-12 17.26741 
 1979-12-13 10.63102 
 1979-12-14 14.06791 
 1979-12-15 15.03673 
 1979-12-16 16.57879 
 1979-12-17 18.33096 
 1979-12-18 19.80996 
 1979-12-19 14.93248 
 1979-12-20 14.11522 
 1979-12-21 15.21068 
 1979-12-22 20.47182 
 1979-12-23  21.2353 
 1979-12-24 21.61824 
 1979-12-25 18.86765 
 1979-12-26 17.82513 
 1979-12-27 17.71256 
 1979-12-28 17.86037 
 1979-12-29 17.32193 
 1979-12-30 15.76908 
 1979-12-31 16.67215 
 1980-01-01 14.37122 
 1980-01-02 17.91057 
 1980-01-03 17.20097 
 1980-01-04 14.39152 
 1980-01-05 14.54302 
 1980-01-06 19.69155 
 1980-01-07 23.27644 
 1980-01-08  17.2337 
 1980-01-09 18.09618 
 1980-01-10 20.34119 
 1980-01-11 16.97802 
 1980-01-12 18.58041 
 1980-01-13 16.32957 
 1980-01-14   16.448 
 1980-01-15 19.28062 
 1980-01-16 22.14856 
 1980-01-17 21.77538 
 1980-01-18 20.60466 
 1980-01-19 20.95891 
 1980-01-20 20.79607 
 1980-01-21 22.83015 
 1980-01-22 22.56939 
 1980-01-23 19.40731 
 1980-01-24 21.01069 
 1980-01-25 20.61761 
 1980-01-26  20.5318 
 1980-01-27 19.88845 
 1980-01-28 19.04555 
 1980-01-29 19.49022 
 1980-01-30 17.74273 
 1980-01-31 18.86937 
 1980-02-01 19.60971 
 1980-02-02 19.49012 
 1980-02-03 18.70958 
 1980-02-04 19.06197 
 1980-02-05 19.80942 
 1980-02-06  16.8748 
 1980-02-07 17.84286 
 1980-02-08 18.04429 
 1980-02-09 18.19462 
 1980-02-10 17.04202 
 1980-02-11 17.26809 
 1980-02-12 18.88136 
 1980-02-13 21.80526 
 1980-02-14 21.12081 
 1980-02-15  20.9676 
 1980-02-16 21.54811 
 1980-02-17 18.02697 
 1980-02-18 17.54847 
 1980-02-19 19.40377 
 1980-02-20 23.74735 
 1980-02-21  23.3918 
 1980-02-22 26.33032 
 1980-02-23 23.31105 
 1980-02-24 25.03522 
 1980-02-25 23.72024 
 1980-02-26 22.84305 
 1980-02-27 19.55878 
 1980-02-28 18.80102 
 1980-02-29 18.08255 
 1980-03-01 22.52931 
 1980-03-02 24.39332 
 1980-03-03 21.99583 
 1980-03-04 23.47474 
 1980-03-05 23.64955 
 1980-03-06 23.91526 
 1980-03-07 21.82816 
 1980-03-08 21.59117 
 1980-03-09 18.64187 
 1980-03-10 21.58018 
 1980-03-11 19.17837 
 1980-03-12 20.10012 
 1980-03-13 24.29802 
 1980-03-14 22.37691 
 1980-03-15 23.38509 
 1980-03-16 20.69726 
 1980-03-17 18.81255 
 1980-03-18 23.07478 
 1980-03-19 27.02318 
 1980-03-20 27.25356 
 1980-03-21 27.26934 
 1980-03-22  25.5926 
 1980-03-23 25.12067 
 1980-03-24 27.50369 
 1980-03-25 26.66736 
 1980-03-26 26.56852 
 1980-03-27 21.34456 
 1980-03-28 25.10924 
 1980-03-29 22.78558 
 1980-03-30 20.33783 
 1980-03-31 18.71433 
 1980-04-01 18.67138 
 1980-04-02 19.78875 
 1980-04-03 24.26527 
 1980-04-04 25.08792 
 1980-04-05 26.12358 
 1980-04-06  24.1438 
 1980-04-07 22.76209 
 1980-04-08 22.86794 
 1980-04-09 24.62501 
 1980-04-10 24.78936 
 1980-04-11 24.72762 
 1980-04-12 25.00353 
 1980-04-13 22.64301 
 1980-04-14 26.84399 
 1980-04-15 26.96136 
 1980-04-16  25.4224 
 1980-04-17 25.60955 
 1980-04-18 26.19604 
 1980-04-19 28.22548 
 1980-04-20 29.85747 
 1980-04-21 28.97533 
 1980-04-22 26.23887 
 1980-04-23 31.09583 
 1980-04-24 29.02337 
 1980-04-25 30.38316 
 1980-04-26  28.6199 
 1980-04-27 29.09227 
 1980-04-28 27.93118 
 1980-04-29 34.79256 
 1980-04-30 29.06604 
 1980-05-01 26.51178 
 1980-05-02 26.80344 
 1980-05-03 26.26452 
 1980-05-04 27.02401 
 1980-05-05 29.09659 
 1980-05-06 27.56583 
 1980-05-07 28.04418 
 1980-05-08 28.76208 
 1980-05-09 28.56717 
 1980-05-10 29.41346 
 1980-05-11 29.72187 
 1980-05-12 30.56684 
 1980-05-13 24.95099 
 1980-05-14   27.822 
 1980-05-15  30.5791 
 1980-05-16 29.34366 
 1980-05-17 28.89117 
 1980-05-18 28.68391 
 1980-05-19  27.2417 
 1980-05-20 25.68521 
 1980-05-21 24.90493 
 1980-05-22 28.71525 
 1980-05-23  28.0771 
 1980-05-24 28.79336 
 1980-05-25 29.85361 
 1980-05-26 25.38737 
 1980-05-27 28.13932 
 1980-05-28 28.77846 
 1980-05-29 25.65427 
 1980-05-30  27.7905 
 1980-05-31 24.19453 
 1980-06-01 26.86937 
 1980-06-02 27.84717 
 1980-06-03 27.84886 
 1980-06-04 27.47244 
 1980-06-05 22.89045 
 1980-06-06 23.86839 
 1980-06-07  24.2938 
 1980-06-08 21.62634 
 1980-06-09 26.17193 
 1980-06-10  25.1333 
 1980-06-11 27.80908 
 1980-06-12 26.82051 
 1980-06-13 28.83015 
 1980-06-14 22.05634 
 1980-06-15 26.01212 
 1980-06-16 26.99657 
 1980-06-17 26.74637 
 1980-06-18 27.61266 
 1980-06-19 24.00979 
 1980-06-20 26.02966 
 1980-06-21 21.68061 
 1980-06-22 26.87951 
 1980-06-23 27.95661 
 1980-06-24 25.32995 
 1980-06-25 23.85687 
 1980-06-26 22.44479 
 1980-06-27 25.59905 
 1980-06-28 26.97641 
 1980-06-29 27.57147 
 1980-06-30 26.99868 
 1980-07-01 26.08696 
 1980-07-02 22.66141 
 1980-07-03 24.76701 
 1980-07-04 22.47541 
 1980-07-05 24.44639 
 1980-07-06 21.63132 
 1980-07-07 23.97188 
 1980-07-08   22.406 
 1980-07-09 25.91758 
 1980-07-10  22.2617 
 1980-07-11 24.98011 
 1980-07-12 25.95343 
 1980-07-13 26.17008 
 1980-07-14 23.00469 
 1980-07-15 23.00975 
 1980-07-16 23.14008 
 1980-07-17 25.14352 
 1980-07-18  20.5185 
 1980-07-19 15.07227 
 1980-07-20 24.09571 
 1980-07-21 21.14711 
 1980-07-22 22.29826 
 1980-07-23  23.3791 
 1980-07-24 21.04539 
 1980-07-25 21.17288 
 1980-07-26 23.89822 
 1980-07-27 22.08753 
 1980-07-28 24.38237 
 1980-07-29 25.00907 
 1980-07-30 26.25871 
 1980-07-31  22.3345 
 1980-08-01  25.1309 
 1980-08-02 21.70349 
 1980-08-03 24.20019 
 1980-08-04 21.40465 
 1980-08-05 25.46796 
 1980-08-06 23.12442 
 1980-08-07 24.13235 
 1980-08-08 23.19767 
 1980-08-09 24.14885 
 1980-08-10 21.10708 
 1980-08-11 23.65986 
 1980-08-12 23.33644 
 1980-08-13 21.93624 
 1980-08-14 22.08181 
 1980-08-15 22.95341 
 1980-08-16 24.26923 
 1980-08-17 20.97526 
 1980-08-18 22.08583 
 1980-08-19 23.86307 
 1980-08-20 22.60131 
 1980-08-21  22.2409 
 1980-08-22 23.13336 
 1980-08-23 22.27995 
 1980-08-24 23.98431 
 1980-08-25 24.26707 
 1980-08-26 22.90384 
 1980-08-27 22.94417 
 1980-08-28 23.27088 
 1980-08-29 23.11563 
 1980-08-30  20.4624 
 1980-08-31 22.98446 
 1980-09-01 22.08511 
 1980-09-02 22.72385 
 1980-09-03 22.99129 
 1980-09-04 21.21537 
 1980-09-05 23.90407 
 1980-09-06 22.35748 
 1980-09-07 21.82869 
 1980-09-08 21.34882 
 1980-09-09 24.11524 
 1980-09-10  22.3423 
 1980-09-11 23.89324 
 1980-09-12 23.84412 
 1980-09-13 24.05761 
 1980-09-14 24.13282 
 1980-09-15 23.31255 
 1980-09-16 23.17468 
 1980-09-17 24.98495 
 1980-09-18 24.69033 
 1980-09-19 23.49744 
 1980-09-20  24.5572 
 1980-09-21 24.34652 
 1980-09-22 22.91261 
 1980-09-23 23.94347 
 1980-09-24 23.88903 
 1980-09-25 23.06764 
 1980-09-26 26.80525 
 1980-09-27 21.06379 
 1980-09-28 23.06891 
 1980-09-29 23.26309 
 1980-09-30  24.7396 
 1980-10-01 23.34636 
 1980-10-02 25.70753 
 1980-10-03 25.20369 
 1980-10-04 23.11343 
 1980-10-05 20.71276 
 1980-10-06 24.34639 
 1980-10-07  24.2749 
 1980-10-08 26.83685 
 1980-10-09 30.68701 
 1980-10-10 23.14499 
 1980-10-11 25.05164 
 1980-10-12  23.3766 
 1980-10-13 23.13364 
 1980-10-14 23.74335 
 1980-10-15 24.32598 
 1980-10-16  25.9271 
 1980-10-17 23.19849 
 1980-10-18 21.84671 
 1980-10-19 23.38456 
 1980-10-20 23.96658 
 1980-10-21   25.543 
 1980-10-22 25.40829 
 1980-10-23  24.7678 
 1980-10-24 22.84662 
 1980-10-25 24.32427 
 1980-10-26 21.36604 
 1980-10-27 25.05313 
 1980-10-28 23.01453 
 1980-10-29 22.98082 
 1980-10-30 20.90634 
 1980-10-31 22.73566 
 1980-11-01 23.29802 
 1980-11-02 21.39589 
 1980-11-03 20.63809 
 1980-11-04 31.69586 
 1980-11-05 23.57075 
 1980-11-06 30.87667 
 1980-11-07 27.46209 
 1980-11-08 21.29303 
 1980-11-09 24.74935 
 1980-11-10 20.93774 
 1980-11-11 19.06834 
 1980-11-12 18.10369 
 1980-11-13 27.38584 
 1980-11-14 21.43007 
 1980-11-15 23.62184 
 1980-11-16 23.91893 
 1980-11-17 24.76402 
 1980-11-18 22.46611 
 1980-11-19 20.97071 
 1980-11-20 18.44999 
 1980-11-21  20.3407 
 1980-11-22 19.91854 
 1980-11-23 20.86422 
 1980-11-24 21.12945 
 1980-11-25 20.64358 
 1980-11-26 19.22798 
 1980-11-27 18.32459 
 1980-11-28 19.40129 
 1980-11-29 20.97878 
 1980-11-30 20.88097 
 1980-12-01 18.86847 
 1980-12-02 19.18227 
 1980-12-03 18.90038 
 1980-12-04 19.68755 
 1980-12-05 20.37996 
 1980-12-06 18.69705 
 1980-12-07 17.80442 
 1980-12-08 16.12812 
 1980-12-09 17.69888 
 1980-12-10 16.60371 
 1980-12-11 17.89692 
 1980-12-12 23.57545 
 1980-12-13 20.75301 
 1980-12-14 18.72545 
 1980-12-15 16.69562 
 1980-12-16 15.27226 
 1980-12-17 16.77534 
 1980-12-18 18.54472 
 1980-12-19 13.33921 
 1980-12-20 11.57854 
 1980-12-21 11.76975 
 1980-12-22 14.03252 
 1980-12-23 16.41468 
 1980-12-24 13.95795 
 1980-12-25 16.77932 
 1980-12-26 16.22684 
 1980-12-27 12.32948 
 1980-12-28  11.0689 
 1980-12-29 11.47508 
 1980-12-30 13.41845 
 1980-12-31 16.04495 
 1981-01-01 -9.96921e+36 
 1981-01-02 -9.96921e+36 
 1981-01-03 16.51192 
 1981-01-04 14.73801 
 1981-01-05  15.4519 
 1981-01-06 15.36461 
 1981-01-07 13.64185 
 1981-01-08 15.60444 
 1981-01-09 14.03503 
 1981-01-10 19.57886 
