#      date    value 
 1979-01-01 33.70707 
 1979-01-02 30.22812 
 1979-01-03 32.67406 
 1979-01-04 33.82888 
 1979-01-05  33.8752 
 1979-01-06 33.85829 
 1979-01-07 33.76748 
 1979-01-08 31.71467 
 1979-01-09 32.42439 
 1979-01-10 33.06645 
 1979-01-11 34.15535 
 1979-01-12 31.30613 
 1979-01-13 33.99139 
 1979-01-14 34.83763 
 1979-01-15  34.9177 
 1979-01-16 34.88327 
 1979-01-17 34.49226 
 1979-01-18 35.91787 
 1979-01-19   35.837 
 1979-01-20 35.86435 
 1979-01-21 37.68309 
 1979-01-22 36.83671 
 1979-01-23 37.78318 
 1979-01-24 37.74092 
 1979-01-25 37.96585 
 1979-01-26 38.58538 
 1979-01-27 36.10604 
 1979-01-28 37.86818 
 1979-01-29 37.63654 
 1979-01-30  37.8315 
 1979-01-31  35.9951 
 1979-02-01 36.67012 
 1979-02-02 37.18247 
 1979-02-03 35.64727 
 1979-02-04 35.72372 
 1979-02-05 38.31584 
 1979-02-06 36.50797 
 1979-02-07 36.08575 
 1979-02-08 37.78956 
 1979-02-09 38.65112 
 1979-02-10 37.88961 
 1979-02-11 37.86755 
 1979-02-12 37.77355 
 1979-02-13 36.97916 
 1979-02-14 36.75134 
 1979-02-15 34.68775 
 1979-02-16 31.06716 
 1979-02-17 31.13882 
 1979-02-18 32.93737 
 1979-02-19 32.91125 
 1979-02-20 36.26955 
 1979-02-21   33.999 
 1979-02-22 33.73816 
 1979-02-23 33.95924 
 1979-02-24 32.92702 
 1979-02-25 31.92947 
 1979-02-26 33.04122 
 1979-02-27 33.00465 
 1979-02-28 32.96119 
 1979-03-01 30.39253 
 1979-03-02 32.65755 
 1979-03-03 32.26251 
 1979-03-04 30.68521 
 1979-03-05 29.97013 
 1979-03-06 31.83113 
 1979-03-07 34.81436 
 1979-03-08 37.65284 
 1979-03-09 38.47067 
 1979-03-10 39.56408 
 1979-03-11 37.55469 
 1979-03-12 35.19474 
 1979-03-13 36.97732 
 1979-03-14  38.5748 
 1979-03-15 36.67762 
 1979-03-16 36.54729 
 1979-03-17 36.58296 
 1979-03-18 39.52232 
 1979-03-19 37.83567 
 1979-03-20  39.7028 
 1979-03-21 35.60601 
 1979-03-22 38.84636 
 1979-03-23 38.76814 
 1979-03-24 39.48501 
 1979-03-25 38.69925 
 1979-03-26 38.71033 
 1979-03-27 37.73285 
 1979-03-28 37.68625 
 1979-03-29 39.16648 
 1979-03-30 38.66598 
 1979-03-31 33.99583 
 1979-04-01 38.47744 
 1979-04-02 35.16271 
 1979-04-03 34.61627 
 1979-04-04 36.63368 
 1979-04-05  37.8023 
 1979-04-06 38.84324 
 1979-04-07  39.7382 
 1979-04-08 39.52475 
 1979-04-09 39.68354 
 1979-04-10 38.92589 
 1979-04-11 40.55223 
 1979-04-12 39.67668 
 1979-04-13 39.83147 
 1979-04-14 41.48303 
 1979-04-15 40.85118 
 1979-04-16 36.80583 
 1979-04-17  38.0552 
 1979-04-18 38.44611 
 1979-04-19 37.86071 
 1979-04-20 39.51602 
 1979-04-21 41.79816 
 1979-04-22 40.40669 
 1979-04-23 40.48874 
 1979-04-24 40.72614 
 1979-04-25  41.5564 
 1979-04-26 40.50312 
 1979-04-27 37.49652 
 1979-04-28 39.43285 
 1979-04-29 39.76897 
 1979-04-30 39.36163 
 1979-05-01 38.74548 
 1979-05-02 38.89144 
 1979-05-03 37.88259 
 1979-05-04 33.34153 
 1979-05-05 38.66214 
 1979-05-06 38.91535 
 1979-05-07 39.51316 
 1979-05-08 39.49704 
 1979-05-09 32.63313 
