#      date    value 
 1979-01-01 30.02114 
 1979-01-02 28.29978 
 1979-01-03 28.39698 
 1979-01-04 29.39168 
 1979-01-05 31.23351 
 1979-01-06 24.21492 
 1979-01-07 24.49001 
 1979-01-08 24.60511 
 1979-01-09 24.99408 
 1979-01-10 26.26684 
 1979-01-11  25.8466 
 1979-01-12 25.86099 
 1979-01-13 24.13753 
 1979-01-14 21.95979 
 1979-01-15 21.50112 
 1979-01-16 25.33825 
 1979-01-17 23.88554 
 1979-01-18 23.49412 
 1979-01-19 23.00344 
 1979-01-20  24.7756 
 1979-01-21 24.13445 
 1979-01-22 24.44357 
 1979-01-23 25.88337 
 1979-01-24 25.49166 
 1979-01-25   26.881 
 1979-01-26 27.39222 
 1979-01-27 27.42992 
 1979-01-28 27.05741 
 1979-01-29 27.43626 
 1979-01-30 27.14058 
 1979-01-31 26.24541 
 1979-02-01 27.16575 
 1979-02-02 28.16792 
 1979-02-03 33.10211 
 1979-02-04 33.72092 
 1979-02-05 32.18481 
 1979-02-06 31.19905 
 1979-02-07 28.91715 
 1979-02-08 27.18806 
 1979-02-09 28.91457 
 1979-02-10 27.53622 
 1979-02-11 26.18335 
 1979-02-12 27.52551 
 1979-02-13 28.20713 
 1979-02-14 28.18898 
 1979-02-15  22.3918 
 1979-02-16 25.60407 
 1979-02-17  24.7772 
 1979-02-18 25.28647 
 1979-02-19 25.75618 
 1979-02-20 26.29976 
 1979-02-21 25.41789 
 1979-02-22 29.50361 
 1979-02-23 31.47795 
 1979-02-24  31.9543 
 1979-02-25 28.28477 
 1979-02-26 28.43207 
 1979-02-27 26.16373 
 1979-02-28 26.11129 
 1979-03-01 28.16444 
 1979-03-02 24.85433 
 1979-03-03 27.39167 
 1979-03-04 29.28998 
 1979-03-05 25.47456 
 1979-03-06 25.07129 
 1979-03-07   26.902 
 1979-03-08 25.49855 
 1979-03-09 24.73303 
 1979-03-10 24.51123 
 1979-03-11 24.12528 
 1979-03-12 28.93921 
 1979-03-13 27.97529 
 1979-03-14 25.38715 
 1979-03-15 26.38907 
 1979-03-16 24.89732 
 1979-03-17 25.03942 
 1979-03-18 23.82839 
 1979-03-19 23.86732 
 1979-03-20 25.82307 
 1979-03-21 25.36828 
 1979-03-22 28.31789 
 1979-03-23 27.90539 
 1979-03-24 26.90054 
 1979-03-25 26.84481 
 1979-03-26 28.13958 
 1979-03-27 28.67703 
 1979-03-28 25.23021 
 1979-03-29 28.36826 
 1979-03-30 27.32343 
 1979-03-31 25.62072 
 1979-04-01 26.90554 
 1979-04-02 28.35757 
 1979-04-03 33.38367 
 1979-04-04 28.42298 
 1979-04-05 29.96311 
 1979-04-06 28.49794 
 1979-04-07 29.09162 
 1979-04-08 30.35806 
 1979-04-09  28.6128 
 1979-04-10 26.80238 
 1979-04-11 26.44341 
 1979-04-12  26.8062 
 1979-04-13 25.86724 
 1979-04-14 28.03409 
 1979-04-15   28.032 
 1979-04-16 26.72574 
 1979-04-17 25.76867 
 1979-04-18 24.90927 
 1979-04-19 25.75873 
 1979-04-20 25.98457 
 1979-04-21 27.62942 
 1979-04-22 28.57805 
 1979-04-23 32.97614 
 1979-04-24 29.39286 
 1979-04-25 30.73249 
 1979-04-26 33.89931 
 1979-04-27 32.24726 
 1979-04-28 31.21698 
 1979-04-29 25.82548 
 1979-04-30 26.29953 
 1979-05-01 24.80062 
 1979-05-02  24.8269 
 1979-05-03 25.66598 
 1979-05-04 26.74329 
 1979-05-05 27.38548 
 1979-05-06 27.79601 
 1979-05-07 27.34166 
 1979-05-08  27.0156 
 1979-05-09 25.99218 
