#      date    value 
 1979-01-01 33.69512 
 1979-01-02 32.10528 
 1979-01-03 32.02053 
 1979-01-04 31.32139 
 1979-01-05 34.69891 
 1979-01-06 33.77829 
 1979-01-07 32.95961 
 1979-01-08 32.25166 
 1979-01-09 33.73418 
 1979-01-10 34.89539 
 1979-01-11 24.63463 
 1979-01-12 34.44669 
 1979-01-13 36.13515 
 1979-01-14 36.91002 
 1979-01-15 37.58558 
 1979-01-16 36.87035 
 1979-01-17 36.07827 
 1979-01-18 36.87546 
 1979-01-19 35.77155 
 1979-01-20 36.77409 
 1979-01-21   36.851 
 1979-01-22 37.81894 
 1979-01-23 37.89134 
 1979-01-24 36.77806 
 1979-01-25 36.89671 
 1979-01-26 36.89811 
 1979-01-27 37.72168 
 1979-01-28 38.14083 
 1979-01-29 38.66346 
 1979-01-30 37.84917 
 1979-01-31 37.72862 
 1979-02-01 37.75036 
 1979-02-02 35.81048 
 1979-02-03 35.78752 
 1979-02-04 35.88385 
 1979-02-05 36.70296 
 1979-02-06 37.59071 
 1979-02-07  36.9156 
 1979-02-08 37.93408 
 1979-02-09 38.75606 
 1979-02-10 38.70807 
 1979-02-11 38.79089 
 1979-02-12 38.02974 
 1979-02-13 38.06137 
 1979-02-14 38.05148 
 1979-02-15 35.89092 
 1979-02-16 32.25206 
 1979-02-17 32.24117 
 1979-02-18 33.91511 
 1979-02-19 34.86204 
 1979-02-20 35.20713 
 1979-02-21 35.08708 
 1979-02-22 33.30613 
 1979-02-23 35.04217 
 1979-02-24 32.04157 
 1979-02-25 32.80721 
 1979-02-26  33.0889 
 1979-02-27 34.26904 
 1979-02-28  32.1614 
 1979-03-01 29.89775 
 1979-03-02 33.19515 
 1979-03-03  34.2196 
 1979-03-04 31.55665 
 1979-03-05 31.33748 
 1979-03-06 34.12298 
 1979-03-07 36.17392 
 1979-03-08 38.89104 
 1979-03-09 39.15462 
 1979-03-10 39.07928 
 1979-03-11 40.66985 
 1979-03-12 40.88192 
 1979-03-13 40.08049 
 1979-03-14 40.94464 
 1979-03-15 40.11996 
 1979-03-16 41.52221 
 1979-03-17 40.35874 
 1979-03-18 41.96499 
 1979-03-19 40.30535 
 1979-03-20 41.02327 
 1979-03-21  37.4885 
 1979-03-22 41.01302 
 1979-03-23 41.07028 
 1979-03-24 41.77798 
 1979-03-25 39.54126 
 1979-03-26 37.60075 
 1979-03-27  41.8574 
 1979-03-28 40.79324 
 1979-03-29 42.01714 
 1979-03-30 42.82006 
 1979-03-31 41.52007 
 1979-04-01 39.28558 
 1979-04-02 35.83974 
 1979-04-03 34.71172 
 1979-04-04 37.09551 
 1979-04-05  39.0179 
 1979-04-06 40.64388 
 1979-04-07 46.16291 
 1979-04-08 40.86125 
 1979-04-09 40.36218 
 1979-04-10 41.82867 
 1979-04-11 42.80162 
 1979-04-12 42.56154 
 1979-04-13 42.73788 
 1979-04-14 43.72154 
 1979-04-15 43.73116 
 1979-04-16 41.29512 
 1979-04-17 37.78492 
 1979-04-18 42.44366 
 1979-04-19 40.28242 
 1979-04-20 42.60209 
 1979-04-21 42.85257 
 1979-04-22 42.03974 
 1979-04-23 40.25109 
 1979-04-24 41.77504 
 1979-04-25 41.84927 
 1979-04-26 42.72019 
 1979-04-27 42.81504 
 1979-04-28 39.42425 
 1979-04-29 42.48154 
 1979-04-30 39.92522 
 1979-05-01 31.11852 
 1979-05-02 36.47864 
 1979-05-03 39.93045 
 1979-05-04 39.99894 
 1979-05-05  41.7636 
 1979-05-06 42.73023 
 1979-05-07 41.61734 
 1979-05-08 39.68009 
 1979-05-09 31.52457 
 1979-05-10 35.82785 
 1979-05-11 37.88596 
 1979-05-12 38.80254 
 1979-05-13 39.47361 
 1979-05-14 39.38561 
 1979-05-15 34.86884 
 1979-05-16 33.98401 
 1979-05-17  37.6467 
 1979-05-18  38.5665 
 1979-05-19 42.77164 
 1979-05-20 43.38644 
 1979-05-21 41.40783 
 1979-05-22 40.76727 
 1979-05-23 39.83359 
 1979-05-24 40.34291 
 1979-05-25  38.5042 
 1979-05-26  31.1117 
 1979-05-27 36.14091 
 1979-05-28  40.3017 
 1979-05-29 41.78636 
 1979-05-30 37.34322 
 1979-05-31 39.82917 
 1979-06-01 39.44065 
 1979-06-02 34.38083 
 1979-06-03 33.30474 
 1979-06-04 35.85966 
