#      date    value 
 1979-01-01 24.99222 
 1979-01-02 24.81888 
 1979-01-03 24.31231 
 1979-01-04 24.25512 
 1979-01-05 24.27523 
 1979-01-06 24.76054 
 1979-01-07 24.30051 
 1979-01-08 25.29541 
 1979-01-09 25.13756 
 1979-01-10 25.83943 
 1979-01-11 25.29388 
 1979-01-12 23.28623 
 1979-01-13 25.67248 
 1979-01-14  26.6027 
 1979-01-15 25.06483 
 1979-01-16 25.72195 
 1979-01-17 25.96811 
 1979-01-18 25.96851 
 1979-01-19  25.4183 
 1979-01-20 25.29354 
 1979-01-21 25.52548 
 1979-01-22 24.84558 
 1979-01-23  24.5992 
 1979-01-24 25.27625 
 1979-01-25 25.58464 
 1979-01-26 25.46937 
 1979-01-27 25.33266 
 1979-01-28 25.28658 
 1979-01-29 26.05748 
 1979-01-30 26.31029 
 1979-01-31 24.32248 
 1979-02-01 25.41919 
 1979-02-02 22.65449 
 1979-02-03 22.74974 
 1979-02-04 24.78389 
 1979-02-05 24.49293 
 1979-02-06 25.50275 
 1979-02-07 24.66921 
 1979-02-08 24.42572 
 1979-02-09 25.58471 
 1979-02-10 25.64903 
 1979-02-11 25.50671 
 1979-02-12 24.58165 
 1979-02-13 24.83021 
 1979-02-14 23.91307 
 1979-02-15 22.20995 
 1979-02-16   25.655 
 1979-02-17 24.74932 
 1979-02-18 24.18667 
 1979-02-19 24.32845 
 1979-02-20 24.68887 
 1979-02-21 24.50226 
 1979-02-22 25.70316 
 1979-02-23   24.986 
 1979-02-24 24.73458 
 1979-02-25 25.37191 
 1979-02-26  24.4911 
 1979-02-27 24.86179 
 1979-02-28 25.18031 
 1979-03-01  24.2529 
 1979-03-02 24.25692 
 1979-03-03 23.93012 
 1979-03-04 24.40639 
 1979-03-05 25.14717 
 1979-03-06 25.06727 
 1979-03-07 25.08327 
 1979-03-08  25.6458 
 1979-03-09 26.10562 
 1979-03-10 26.30873 
 1979-03-11 26.08761 
 1979-03-12 25.73245 
 1979-03-13  25.7996 
 1979-03-14 26.40533 
 1979-03-15 25.78135 
 1979-03-16 25.99042 
 1979-03-17 25.41001 
 1979-03-18 26.25814 
 1979-03-19  25.4506 
 1979-03-20 26.10924 
 1979-03-21 22.30209 
 1979-03-22 24.42591 
 1979-03-23 22.95583 
 1979-03-24 26.32531 
 1979-03-25 26.26512 
 1979-03-26 23.66533 
 1979-03-27 25.39263 
 1979-03-28 25.63746 
 1979-03-29 26.03073 
 1979-03-30 26.10178 
 1979-03-31 26.33049 
 1979-04-01 25.90418 
 1979-04-02 26.12648 
 1979-04-03 22.69542 
 1979-04-04   25.118 
 1979-04-05 26.33825 
 1979-04-06 23.55325 
 1979-04-07 25.97389 
 1979-04-08 26.75301 
 1979-04-09 26.35831 
 1979-04-10 26.73719 
 1979-04-11 26.13388 
 1979-04-12 26.81865 
 1979-04-13 26.06763 
 1979-04-14 26.08131 
 1979-04-15 27.22519 
 1979-04-16 26.71392 
 1979-04-17 27.09753 
 1979-04-18 23.56746 
 1979-04-19 22.76023 
 1979-04-20 25.16943 
 1979-04-21 26.47168 
 1979-04-22 26.02432 
 1979-04-23 23.08873 
 1979-04-24 25.13761 
 1979-04-25 27.12929 
 1979-04-26 27.09351 
 1979-04-27 22.97675 
 1979-04-28 22.73072 
 1979-04-29 25.34127 
 1979-04-30 25.14737 
 1979-05-01 21.65939 
 1979-05-02 22.67534 
 1979-05-03 24.60001 
 1979-05-04 23.69869 
 1979-05-05 25.43808 
 1979-05-06 23.51911 
 1979-05-07 25.41098 
 1979-05-08 21.31076 
 1979-05-09 24.37636 
 1979-05-10 23.43282 
 1979-05-11 25.50898 
 1979-05-12 25.80519 
 1979-05-13 26.06832 
 1979-05-14 25.61104 
 1979-05-15 25.11514 
 1979-05-16 24.57107 
 1979-05-17 24.41278 
 1979-05-18 25.06974 
 1979-05-19 22.92922 
 1979-05-20  24.4367 
 1979-05-21 25.17554 
 1979-05-22 25.41315 
 1979-05-23 26.34204 
 1979-05-24 26.79106 
 1979-05-25 24.61569 
 1979-05-26 24.57549 
 1979-05-27 22.67661 
 1979-05-28 24.26263 
 1979-05-29  24.3234 
 1979-05-30 21.28005 
 1979-05-31  23.6608 
 1979-06-01 23.85257 
 1979-06-02 24.00464 
 1979-06-03 24.34272 
 1979-06-04 23.02628 
 1979-06-05  24.5973 
 1979-06-06 24.29093 
 1979-06-07 23.68473 
