#      date    value 
 1979-01-01 17.13893 
 1979-01-02 17.95509 
 1979-01-03  15.5828 
 1979-01-04 16.93684 
 1979-01-05 17.34452 
 1979-01-06 18.36468 
 1979-01-07 18.71604 
 1979-01-08 19.72739 
 1979-01-09 18.54412 
 1979-01-10  18.5635 
 1979-01-11 18.96047 
 1979-01-12 17.99804 
 1979-01-13 18.59172 
 1979-01-14 18.12815 
 1979-01-15 18.96837 
 1979-01-16 18.12037 
 1979-01-17 19.16021 
 1979-01-18 20.03212 
 1979-01-19  19.0918 
 1979-01-20  19.8989 
 1979-01-21 18.75891 
 1979-01-22 18.54925 
 1979-01-23 17.99312 
 1979-01-24 19.71777 
 1979-01-25 20.50602 
 1979-01-26 20.67011 
 1979-01-27 20.56245 
 1979-01-28 19.85071 
 1979-01-29 19.10308 
 1979-01-30 20.02114 
 1979-01-31 19.87576 
 1979-02-01 19.49949 
 1979-02-02 19.58099 
 1979-02-03 18.94533 
 1979-02-04 19.07732 
 1979-02-05 17.99849 
 1979-02-06 18.03909 
 1979-02-07  18.5372 
 1979-02-08  19.2438 
 1979-02-09 19.47943 
 1979-02-10 18.29464 
 1979-02-11 19.80804 
 1979-02-12 19.08306 
 1979-02-13 19.52773 
 1979-02-14 18.27044 
 1979-02-15 19.33826 
 1979-02-16 18.80958 
 1979-02-17 16.09438 
 1979-02-18 16.24488 
 1979-02-19 15.67081 
 1979-02-20 16.43035 
 1979-02-21 17.12048 
 1979-02-22 16.40728 
 1979-02-23 15.87746 
 1979-02-24  16.6001 
 1979-02-25 17.58232 
 1979-02-26  15.8836 
 1979-02-27 16.48114 
 1979-02-28 16.92521 
 1979-03-01 17.02836 
 1979-03-02  17.0419 
 1979-03-03 16.02868 
 1979-03-04 16.58391 
 1979-03-05 18.55823 
 1979-03-06  17.4789 
 1979-03-07 17.28489 
 1979-03-08 17.32522 
 1979-03-09 18.30537 
 1979-03-10 18.57911 
 1979-03-11 17.50003 
 1979-03-12 17.19684 
 1979-03-13 17.25328 
 1979-03-14 19.45515 
 1979-03-15 17.65895 
 1979-03-16 18.02757 
 1979-03-17 17.68402 
 1979-03-18  18.4656 
 1979-03-19 17.85193 
 1979-03-20 18.08572 
 1979-03-21 17.99638 
 1979-03-22 19.08525 
 1979-03-23 20.06273 
 1979-03-24 18.67605 
 1979-03-25 17.41173 
 1979-03-26 19.22391 
 1979-03-27 19.11113 
 1979-03-28 18.21785 
 1979-03-29  18.5204 
 1979-03-30 20.47471 
 1979-03-31 19.13378 
 1979-04-01 18.90814 
 1979-04-02 18.27953 
 1979-04-03 18.51612 
 1979-04-04 19.31305 
 1979-04-05 18.50098 
 1979-04-06 19.32958 
 1979-04-07 18.46308 
 1979-04-08 20.29532 
 1979-04-09 20.11382 
 1979-04-10 19.14043 
 1979-04-11 17.93029 
 1979-04-12 17.91593 
 1979-04-13 18.09003 
 1979-04-14 20.62623 
 1979-04-15  22.9154 
 1979-04-16 18.25861 
 1979-04-17 17.03399 
 1979-04-18 17.88675 
 1979-04-19 17.84884 
 1979-04-20 18.98026 
 1979-04-21 19.12261 
 1979-04-22 20.49038 
 1979-04-23 21.71376 
 1979-04-24  20.1212 
 1979-04-25 21.20547 
 1979-04-26 21.60611 
 1979-04-27 22.98544 
 1979-04-28 22.23938 
 1979-04-29 19.92167 
 1979-04-30 18.25207 
 1979-05-01 17.46446 
 1979-05-02  18.6189 
 1979-05-03 19.78872 
 1979-05-04  20.0688 
 1979-05-05 19.79005 
 1979-05-06   19.989 
 1979-05-07 21.10014 
 1979-05-08 19.77515 
 1979-05-09 18.45254 
 1979-05-10 18.81134 
 1979-05-11 12.34028 
 1979-05-12 20.14555 
 1979-05-13 21.28785 
 1979-05-14 22.46462 
 1979-05-15  20.5946 
 1979-05-16 21.94969 
 1979-05-17 21.89623 
 1979-05-18 21.64406 
 1979-05-19 20.80964 
 1979-05-20 21.00569 
 1979-05-21 22.14483 
 1979-05-22 23.25032 
 1979-05-23 23.25261 
 1979-05-24 23.27445 
 1979-05-25 23.73147 
 1979-05-26   22.979 
 1979-05-27 23.02442 
 1979-05-28 23.23703 
 1979-05-29 23.37263 
 1979-05-30 23.21443 
 1979-05-31 22.23277 
 1979-06-01 22.21357 
 1979-06-02 21.82124 
 1979-06-03 22.96182 
