#      date    value 
 1979-01-01 18.06499 
 1979-01-02 18.11355 
 1979-01-03 19.71403 
 1979-01-04 16.10001 
 1979-01-05  13.9111 
 1979-01-06 14.51203 
 1979-01-07 18.93751 
 1979-01-08 17.18064 
 1979-01-09 18.03313 
 1979-01-10 14.74319 
 1979-01-11 18.00462 
 1979-01-12 18.02603 
 1979-01-13 18.92113 
 1979-01-14 22.27539 
 1979-01-15 19.33797 
 1979-01-16  23.5033 
 1979-01-17 19.34517 
 1979-01-18  19.1124 
 1979-01-19 20.97291 
 1979-01-20 19.31199 
 1979-01-21 18.17645 
 1979-01-22 19.16441 
 1979-01-23 19.12301 
 1979-01-24 18.96197 
 1979-01-25 17.25297 
 1979-01-26 15.12614 
 1979-01-27 15.97975 
 1979-01-28 18.35818 
 1979-01-29  18.1188 
 1979-01-30 18.14874 
 1979-01-31 17.33612 
 1979-02-01  17.9599 
 1979-02-02 18.00058 
 1979-02-03 17.06669 
 1979-02-04 19.48405 
 1979-02-05 18.08184 
 1979-02-06 17.13644 
 1979-02-07 18.08131 
 1979-02-08 17.26458 
 1979-02-09 17.35999 
 1979-02-10 17.21716 
 1979-02-11  17.9866 
 1979-02-12 18.73612 
 1979-02-13 18.32903 
 1979-02-14 20.05226 
 1979-02-15 20.02421 
 1979-02-16 19.96746 
 1979-02-17 18.01637 
 1979-02-18 18.71427 
 1979-02-19 16.89594 
 1979-02-20    17.03 
 1979-02-21 16.99479 
 1979-02-22 18.86843 
 1979-02-23 16.88674 
 1979-02-24 18.22837 
 1979-02-25 17.07271 
 1979-02-26 16.04547 
 1979-02-27 16.83233 
 1979-02-28 18.89442 
 1979-03-01 16.13024 
 1979-03-02 16.00321 
 1979-03-03 19.09014 
 1979-03-04 22.80271 
 1979-03-05 19.19995 
 1979-03-06 19.04273 
 1979-03-07 19.28963 
 1979-03-08 19.56276 
 1979-03-09 23.97295 
 1979-03-10 22.92898 
 1979-03-11 24.90155 
 1979-03-12  24.9691 
 1979-03-13 24.23091 
 1979-03-14 26.59967 
 1979-03-15 26.84646 
 1979-03-16  26.9903 
 1979-03-17 26.03018 
 1979-03-18 27.68245 
 1979-03-19 29.10122 
 1979-03-20 29.28858 
 1979-03-21 26.91916 
 1979-03-22 26.96167 
 1979-03-23 28.08259 
 1979-03-24 27.03775 
 1979-03-25 27.03934 
 1979-03-26  24.9684 
 1979-03-27 24.96177 
 1979-03-28 30.31988 
 1979-03-29 27.01608 
 1979-03-30 29.45191 
 1979-03-31 30.02898 
 1979-04-01 25.90783 
 1979-04-02 25.90646 
 1979-04-03 23.97703 
 1979-04-04 22.03751 
 1979-04-05 22.06378 
 1979-04-06 23.84446 
 1979-04-07  21.9548 
 1979-04-08 20.76746 
 1979-04-09 20.67845 
 1979-04-10  25.8768 
 1979-04-11 28.53461 
 1979-04-12  24.8372 
 1979-04-13 22.96065 
 1979-04-14 28.00156 
 1979-04-15 32.16649 
 1979-04-16 31.33418 
 1979-04-17 25.89055 
 1979-04-18 26.98661 
 1979-04-19 28.76971 
 1979-04-20 28.00628 
 1979-04-21 25.58813 
 1979-04-22 27.29565 
 1979-04-23 23.57388 
 1979-04-24 26.07791 
 1979-04-25 28.92764 
 1979-04-26 27.87657 
 1979-04-27 27.65768 
 1979-04-28 27.75364 
 1979-04-29 27.86427 
 1979-04-30 29.04028 
 1979-05-01 22.40331 
 1979-05-02 22.07317 
 1979-05-03 26.56767 
 1979-05-04 26.99692 
 1979-05-05 28.53309 
 1979-05-06 27.54553 
 1979-05-07 28.64824 
 1979-05-08 26.08936 
 1979-05-09 22.11678 
 1979-05-10 24.28554 
 1979-05-11 26.88249 
 1979-05-12 28.57395 
 1979-05-13 27.17074 
 1979-05-14 27.24173 
 1979-05-15 22.73646 
 1979-05-16 25.77008 
 1979-05-17 26.93791 
 1979-05-18 26.03768 
 1979-05-19 27.79367 
 1979-05-20 29.03172 
 1979-05-21 28.18953 
 1979-05-22 29.99814 
 1979-05-23 28.77694 
 1979-05-24 23.47061 
 1979-05-25 26.11341 
 1979-05-26 26.76363 
 1979-05-27 23.95994 
 1979-05-28 33.11429 
 1979-05-29  30.3401 
